고유번호(관리번호),건물명,허가일자,사용검사일자,주차장명,주차장구분,주차장유형,주차시설형태,소재지도로명주소,소재지지번주소,총 주차구획(면) 수,법정주차구획(면) 수,계획주차구획(면) 수,일반주차구획 수,전용주차구획(장애인) 수,전용주차구획(경차) 수,전용주차구획(여성) 수,전용주차구획(전기차) 수,전용주차구획(나눔카) 수,전용주차구획(기타) 수,전기차충전기 수,방범설비유형,급지구분,부제시행구분,일반인 개방 여부,운영방식,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,소유주체,운영주체,데이터 관리기관명,전화번호,위도,경도,현장 이미지,데이터기준일자
367-1-000001,,,,계룡스파텔 옆 주차장,공영,노상,,"대전광역시 유성구 온천로 81 (봉명동, 계룡스파텔)",대전광역시 유성구 봉명동 539-1,59,,,59,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3551262,127.34788,,2022-10-31
367-1-000002,,,,계룡스파텔 앞 주차장,공영,노상,,대전광역시 유성구 계룡로123번길 77 (봉명동),대전광역시 유성구 봉명동 538-5,34,,,34,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일,,, 00:00, 23:59, 00:00, 23:59,유료,15,400,15,300,12000,12000,140000,현금+카드,,구,민간위탁,대전광역시 유성구청,,36.3563951,127.345367,,2022-10-31
367-1-000003,,,,궁동 457-1일원 주차장,공영,노상,,대전광역시 유성구 대학로81번길 65,대전광역시 유성구 궁동 457-1,122,,,122,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3623384,127.3417,,2022-10-31
367-1-000004,,,,권인순 김치찌개 앞 주차장,공영,노상,,대전광역시 유성구 노은서로76번길 77 (노은동),대전광역시 유성구 노은동 517-3,78,,,78,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일,,,,,,,무료,,,,,,,,,,,,대전광역시 유성구청,,36.3674671,127.317214,,2022-10-31
367-1-000005,,,,길산골프연습장앞 주차장,공영,노상,,대전광역시 유성구 진잠로140번길 21,대전광역시 유성구 원내동 761,33,,,33,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3022174,127.331242,,2022-10-31
367-1-000006,,,,노은서로76번길 주차장,공영,노상,,"대전광역시 유성구 노은서로80번길 16 (노은동, 대순진리회)",대전광역시 유성구 노은동 515-1,78,,,78,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3675226,127.313225,,2022-10-31
367-1-000007,,,,농촌공사 주변 주차장,공영,노상,,대전광역시 유성구 한밭대로313번길 21,대전광역시 유성구 장대동 24-2,70,,,70,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3661545,127.335939,,2022-10-31
367-1-000008,,,,대우이수드림월드아파트 옆 주차장,공영,노상,,"대전광역시 유성구 문화원로 13 (장대동, 드림월드아파트)",대전광역시 유성구 장대동 344,34,,,34,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3635159,127.338502,,2022-10-31
367-1-000009,,,,대전원예농협~대신수산 주차장,공영,노상,,대전광역시 유성구 노은동로 8 (노은동),대전광역시 유성구 노은동 567-3,10,,,10,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3629929,127.318856,,2022-10-31
367-1-000010,,,,도덕봉가든일원 주차장,공영,노상,,대전광역시 유성구 동서대로189번길,대전광역시 유성구 덕명동 171-96,25,,,25,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3456114,127.296985,,2022-10-31
367-1-000011,,,,도룡동 우성(아) 앞 주차장,공영,노상,,,대전광역시 유성구 도룡동 401-3,27,,,27,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3887836,127.380887,,2022-10-31
367-1-000012,,,,동원수산 앞 주차장,공영,노상,,,대전광역시 유성구 노은동 594,92,,,92,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3672918,127.318751,,2022-10-31
367-1-000013,,,,럭키하나아파트 주변 주차장,공영,노상,,"대전광역시 유성구 신성남로 27 (신성동, 신성마을작은도서관)",대전광역시 유성구 신성동 206,15,,,15,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3864413,127.348052,,2022-10-31
367-1-000014,,,,메가시티 주변 주차장,공영,노상,,"대전광역시 유성구 왕가봉로24번길 15 (노은동, 노은시티빌)",대전광역시 유성구 노은동 554-3,22,,,22,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3658557,127.31655,,2022-10-31
367-1-000015,,,,반석동공영주변 주차장,공영,노상,,,대전광역시 유성구 반석동 641 반석동공영~행복한교회,46,,,46,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.39143367,127.3149024,,2022-10-31
367-1-000016,,,,반석마을 2단지 207동 옆라인 주차장,공영,노상,,,대전광역시 유성구 지족동 1001,35,,,35,,,,,,,,,,,,일반노상주차장,,,,,,,,무료,,,,,,,,,,,,대전광역시 유성구청,,36.3873995,127.316335,,2022-10-31
367-1-000017,,,,봉명동 카페거리 주차장,공영,노상,,,대전광역시 유성구 봉명동 648,182,,,182,,,,,,,,,,,,일반노상주차장,,,,,,,,무료,,,,,,,,,,,,대전광역시 유성구청,,36.3535814,127.346068,,2022-10-31
367-1-000018,,,,상수도사업본부 유성사업소 주변 주차장,공영,노상,,대전광역시 유성구 한밭대로492번길 26-14,대전광역시 유성구 봉명동 665-6,12,,,12,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3587275,127.352107,,2022-10-31
367-1-000019,,,,성원상떼빌 주변 주차장,공영,노상,,"대전광역시 유성구 온천서로 36-19 (장대동, 성원상떼빌)",대전광역시 유성구 장대동 376-2,36,,,36,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,, ,,,,,,,구,구직영,대전광역시 유성구청,,36.3583385,127.34015,,2022-10-31
367-1-000020,,,,송강청솔@~송강@ 주차장,공영,노상,,대전광역시 송강동 와룡로136번길,대전광역시 유성구 송강동 558,26,,,26,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.4378581,127.384538,,2022-10-31
367-1-000021,,,,수통골 공영주차장 입구 주변 주차장,공영,노상,,,대전광역시 유성구 계산동 352-8,8,,,8,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3456873,127.2926029,,2022-10-31
367-1-000022,,,,숯골원냉면 주변 주차장,공영,노상,,"대전광역시 유성구 신성로84번길 18-1 (신성동, 대원빌라)",대전광역시 유성구 신성동 136-4,13,,,13,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.390058,127.350085,,2022-10-31
367-1-000023,,,,신성동 첨단주유소~신성삼거리 주차장,공영,노상,,"대전광역시 유성구 가정로 63 (신성동, 럭키하나아파트)",대전광역시 유성구 신성동 153,49,,,49,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3859676,127.349788,,2022-10-31
367-1-000024,,,,신성동 한울(아) 옆 주차장,공영,노상,,"대전광역시 유성구 가정로 43 (신성동, 한울아파트)",대전광역시 유성구 신성동 160-1,26,,,26,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.387283,127.346796,,2022-10-31
367-1-000025,,,,신성동애경기술원전면 주차장,공영,노상,,"대전광역시 유성구 신성남로 120 (신성동, 애경종합기술원)",대전광역시 유성구 신성동 217-2,64,,,64,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3919529,127.352323,,2022-10-31
367-1-000026,,,,아드리아호텔 앞 주차장,공영,노상,,대전광역시 유성구 온천서로 22-6 (봉명동),대전광역시 유성구 봉명동 442-2,26,,,26,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일,,, 00:00, 23:59, 00:00, 23:59,유료,15,400,15,300,12000,12000,140000,현금+카드,,구,민간위탁,대전광역시 유성구청,,36.3560674,127.340196,,2022-10-31
367-1-000027,,,,어은로58번길(카이스트 옆) 주차장,공영,노상,,대전광역시 유성구 어은로42번길 27 (어은동),대전광역시 유성구 어은동 112-7,14,,,14,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3633568,127.359103,,2022-10-31
367-1-000028,,,,엑스포코아 앞 주차장,공영,노상,,"대전광역시 유성구 엑스포로 488 (전민동, 엑스포코아)",대전광역시 유성구 전민동 466-3,9,,,9,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3999848,127.405699,,2022-10-31
367-1-000029,,,,열매마을4단지 앞 주차장,공영,노상,,대전광역시 유성구 은구비로 12 (지족동),대전광역시 유성구 지족동 884-4,11,,,11,,,,,,,,,,,,일반노상주차장,,,,,,,,무료,,,,,,,,,,,,대전광역시 유성구청,,36.3757422,127.316311,,2022-10-31
367-1-000030,,,,온천1동 주민센터 앞 주차장,공영,노상,,"대전광역시 유성구 도안대로589번길 35 (봉명동, 온천1동주민센터)",대전광역시 유성구 봉명동 451,8,,,8,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3531151,127.338969,,2022-10-31
367-1-000031,,,,요한이네할인매장 맞은편~유진아이티 맞은편 주차장,공영,노상,,대전광역시 유성구 왕가봉로2번길 41 (노은동),대전광역시 유성구 노은동 561-7,33,,,33,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3637992,127.317277,,2022-10-31
367-1-000032,,,,원내동 중앙장로교회앞 주차장,공영,노상,,,대전광역시 유성구 원내동 92-3,8,,,8,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3009756,127.3188158,,2022-10-31
367-1-000033,,,,월드컵패밀리타운 주변 주차장,공영,노상,,대전광역시 유성구 유성대로783번길 38,대전광역시 유성구 장대동 323-2,61,,,61,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3645234,127.33591,,2022-10-31
367-1-000034,,,,유림공원 주차장,공영,노상,,,대전광역시 유성구 봉명동 2-1,50,,,50,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3604443,127.35666,,2022-10-31
367-1-000035,,,,유성경찰서 인근 주차장,공영,노상,,,대전광역시 유성구 죽동 648,32,,,32,,,,,,,,,,,,일반노상주차장,,,,,,,,무료,,,,,,,,,,,,대전광역시 유성구청,,36.3799311,127.3263532,,2022-10-31
367-1-000036,,,,유성경찰서~죽동 622 주차장,공영,노상,,대전광역시 유성구 은구비로 133,대전광역시 유성구 죽동 622,43,,,43,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.380457,127.3269282,,2022-10-31
367-1-000037,,,,유성고등학교 주변 주차장,공영,노상,,대전광역시 유성구 도안대로549번길 60,대전광역시 유성구 구암동 611-31,8,,,8,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3497146,127.336838,,2022-10-31
367-1-000038,,,,유성구청 뒤 주차장,공영,노상,,"대전광역시 유성구 대학로 211 (어은동, 유성구청)",대전광역시 유성구 어은동 109,29,,,29,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3625889,127.356736,,2022-10-31
367-1-000039,,,,유성구청~어은공원 주차장,공영,노상,,"대전광역시 유성구 대학로 212 (어은동, 유성구청)",대전광역시 유성구 어은동 109,23,,,23,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.362589,127.356737,,2022-10-31
367-1-000040,,,,유성성당 옆 주차장,공영,노상,,대전광역시 유성구 계룡로46번길 23,대전광역시 유성구 봉명동 568-1,12,,,12,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3539559,127.3357466,,2022-10-31
367-1-000041,,,,유성시장 주차장,공영,노상,,"대전광역시 유성구 유성대로720번길 6 (장대동, 아인스빌)",대전광역시 유성구 장대동 212-6,27,,,27,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3575403,127.332359,,2022-10-31
367-1-000042,,,,유성우체국 앞 주차장,공영,노상,,"대전광역시 유성구 온천로 45 (봉명동, 유성 푸르지오 시티)",대전광역시 유성구 봉명동 536-8,21,,,21,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일,,, 00:00, 23:59, 00:00, 23:59,유료,15,400,15,300,12000,12000,140000,현금+카드,,구,민간위탁,대전광역시 유성구청,,36.3558161,127.343014,,2022-10-31
367-1-000043,,,,유성우체국 옆 주차장,공영,노상,,대전광역시 유성구 온천로 63 (봉명동),대전광역시 유성구 봉명동 538-16,7,,,7,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.35536,127.344928,,2022-10-31
367-1-000044,,,,유성장로교회 앞 주차장,공영,노상,,대전광역시 유성구 유성대로680번길 1-11,대전광역시 유성구 구암동 80-3,24,,,24,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3545527,127.330787,,2022-10-31
367-1-000045,,,,유성호텔 앞 주차장,공영,노상,,,대전광역시 유성구 봉명동 528,20,,,20,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일,,, 00:00, 23:59, 00:00, 23:59,유료,15,400,15,300,12000,12000,140000,현금+카드,,구,민간위탁,대전광역시 유성구청,,36.3541873,127.339018,,2022-10-31
367-1-000046,,,,장대동 364일원 주차장,공영,노상,,,대전광역시 유성구 장대동 364,33,,,33,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3590338,127.339663,,2022-10-31
367-1-000047,,,,장대동공영주차장주변 주차장,공영,노상,,대전광역시 유성구 유성대로729번길 40,대전광역시 유성구 장대동 263-4,44,,,44,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3600662,127.332221,,2022-10-31
367-1-000048,,,,"장명교~경원장, 파라곤모텔앞 주차장",공영,노상,,대전광역시 유성구 계룡로87번길 72,대전광역시 유성구 봉명동 535-2,25,,,25,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3571348,127.34195,,2022-10-31
367-1-000049,,,,전민동 458-13일원 주차장,공영,노상,,대전광역시 유성구 전민로 26-1 (전민동),대전광역시 유성구 전민동 458-13,56,,,56,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3965276,127.402059,,2022-10-31
367-1-000050,,,,주막공원~숯골길 주차장,공영,노상,,대전광역시 유성구 신성로61번길,대전광역시 유성구 신성동 466,65,,,65,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3900445,127.348536,,2022-10-31
367-1-000051,,,,죽동장애인복지관~북대전세무서 주차장,공영,노상,,대전광역시 유성구 북유성대로 166,대전광역시 유성구 죽동 600,39,,,39,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3813747,127.323454,,2022-10-31
367-1-000052,,,,진잠우체국 옆 주차장,공영,노상,,대전광역시 유성구 원내로 39번길 22,대전광역시 유성구 원내동 93-13,31,,,31,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3005928,127.319951,,2022-10-31
367-1-000053,,,,진잠우체국 앞 주차장,공영,노상,,대전광역시 유성구 원내로 39번길 21,대전광역시 유성구 원내동 93-12,21,,,21,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3005927,127.31995,,2022-10-31
367-1-000054,,,,청주해장국 앞 주차장,공영,노상,,"대전광역시 유성구 대학로 23 (봉명동, 홍인음식점)",대전광역시 유성구 봉명동 535-7,10,,,10,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일,,, 00:00, 23:59, 00:00, 23:59,유료,15,400,15,300,12000,12000,140000,현금+카드,,구,민간위탁,대전광역시 유성구청,,36.356054,127.341756,,2022-10-31
367-1-000055,,,,카운티스 앞 주차장,공영,노상,,,대전광역시 유성구 노은동 572,53,,,53,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3699314,127.315641,,2022-10-31
367-1-000056,,,,학사마을 주변 주차장,공영,노상,,대전광역시 유성구 유성대로822번길 16,대전광역시 유성구 장대동 317-3,55,,,55,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3646942,127.339287,,2022-10-31
367-2-000001,25시 셀프세차 민영주차장,,,25시 셀프세차 민영주차장,민영,노외,,대전광역시 유성구 문화원로10번길 25,대전광역시 유성구 장대동 355-8,5,,,5,,,,,,,,,,,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,유료,,,,,,5000,,,,민간,민간직영,대전광역시 유성구청,,36.3603739,127.337407,,2022-10-31
367-2-000002,AJ렌터카 전용주차장,,,AJ렌터카 전용주차장,민영,노외,,,대전광역시 유성구 궁동 490-1,30,,,30,,,,,,,,,,,미개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,카드,,민간,민간직영,대전광역시 유성구청,,36.36091,127.345331,,2022-10-31
367-2-000003,,,,AJ파크 봉명1호점 민영주차장,민영,노외,,,대전광역시 유성구 봉명동 1034,45,,,45,,,,,,,,,,,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,유료,30,1000,,500,,10000,,카드,,민간,민간직영,대전광역시 유성구청,,36.3462507,127.341245,,2022-10-31
367-2-000004,AJ파크 봉명2호점 민영주차장,,,AJ파크 봉명2호점 민영주차장,민영,노외,,,대전광역시 유성구 봉명동 1048,60,,,60,,,,,,,,,,,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,유료,30,1000,,500,,10000,,카드,,민간,민간직영,대전광역시 유성구청,,36.345349,127.34142,,2022-10-31
367-2-000005,AJ파크 지족 민영주차장,,,AJ파크 지족 민영주차장,민영,노외,,,대전광역시 유성구  지족동 1097-1,37,,,37,,,,,,,,,,,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,유료,30,1000,,1000,,30000,,카드,,민간,민간직영,대전광역시 유성구청,,36.3889683,127.307046,,2022-10-31
367-2-000006,H주차빌딩 노외주차장,,,H주차빌딩 노외주차장,민영,노외,,대전광역시 유성구 문화원로 101(봉명동),대전광역시 유성구 봉명동 611-7,48,,,48,,,,,,,,,,,,,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,유료,,,,,,,,,,민간,,대전광역시 유성구청,,36.3591208,127.347039,,2022-10-31
367-2-000007,PK빌딩 전용주차장,,,PK빌딩 전용주차장,민영,노외,,대전광역시 유성구 왕가봉로 30(노은동),대전광역시 유성구 노은동 554-1,175,,,175,,,,,,,,,,,미개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,카드,,민간,민간직영,대전광역시 유성구청,,36.3658577,127.315826,,2022-10-31
367-2-000008,S&호텔 전용주차장,,,S&호텔 전용주차장,민영,노외,,,대전광역시 유성구 관평동 788,34,,,34,,,,,,,,,,,미개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,유료,,,,,,,,현금,,민간,민간직영,대전광역시 유성구청,,36.4268676,127.391777,,2022-10-31
367-2-000009,SH타워 민영주차장,,,SH타워 민영주차장,민영,노외,,대전광역시 유성구 지족동로142번길 53(지족동),대전광역시 유성구 지족동 1027-1,50,,,50,,,,,,,,,,,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,유료,30,1000,,500,,20000,,카드,,민간,민간직영,대전광역시 유성구청,,36.3871334,127.309202,,2022-10-31
367-2-000010,개인 노외주차장,,,개인 노외주차장,민영,노외,,대전광역시 유성구 은구비로 133(죽동),대전광역시 유성구 죽동 622,6,,,6,,,,,,,,,,,,,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,민간,,대전광역시 유성구청,,36.3804539,127.326929,,2022-10-31
367-2-000011,경신민영주차장,,,경신민영주차장,민영,노외,,대전광역시 유성구 은구비남로33번길 47-22(지족동),대전광역시 유성구 지족동 902-2 ,28,,,28,,,,,,,,,,,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,유료,30,2000,,2000,,,,현금+카드,,민간,민간직영,대전광역시 유성구청,,36.3748252,127.318882,,2022-10-31
367-2-000012,관평동1공영,,,관평동1공영,공영,노외,,,대전광역시 유성구 관평동 1175,40,,,40,,,,,,,,,,미시행,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.4231847,127.393676,,2022-10-31
367-2-000013,관평동2공영,,,관평동2공영,공영,노외,,,대전광역시 유성구 관평동 734,50,,,50,,,,,,,,,,미시행,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.4289556,127.39259,,2022-10-31
367-2-000014,관평동3공영,,,관평동3공영,공영,노외,,,대전광역시 유성구 관평동 788,32,,,32,,,,,,,,,,미시행,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.42703123,127.392194,,2022-10-31
367-2-000015,관평동4공영,,,관평동4공영,공영,노외,,,대전광역시 유성구 관평동 932,46,,,46,,,,,,,,,,미시행,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.4250709,127.390062,,2022-10-31
367-2-000016,관평동5공영,,,관평동5공영,공영,노외,,,대전광역시 유성구 관평동 1052,46,,,46,,,,,,,,,,미시행,개방,일반(시간제)주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.4239758,127.391506,,2022-10-31
367-2-000017,관평유료 민영주차장,,,관평유료 민영주차장,민영,노외,,대전광역시 유성구 테크노중앙로 88-6(관평동),대전광역시  유성구 관평동 963,32,,,32,,,,,,,,,,,개방,일반(시간제)주차장,평일+토요일+공휴일, 10:30, 23:00, 10:30, 23:00, 10:30, 23:00,유료,30,1000,,1000,,,,현금+카드,,민간,민간직영,대전광역시 유성구청,,36.4248996,127.392849,,2022-10-31
