고유번호(관리번호),건물명,허가일자,사용검사일자,주차장명,주차장구분,주차장유형,주차시설형태,소재지도로명주소,소재지지번주소,총 주차구획(면) 수,법정주차구획(면) 수,계획주차구획(면) 수,일반주차구획 수,전용주차구획(장애인) 수,전용주차구획(경차) 수,전용주차구획(여성) 수,전용주차구획(전기차) 수,전용주차구획(나눔카) 수,전용주차구획(기타) 수,전기차충전기 수,방범설비유형,급지구분,부제시행구분,일반인 개방 여부,운영방식,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,소유주체,운영주체,데이터 관리기관명,전화번호,위도,경도,현장 이미지,데이터기준일자
367-3-015761,,,,하기동 438번지 주차장,민영,부설,,,대전광역시 유성구 하기동 438,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3904623,127.3224167,,2022-10-31
367-3-015762,,,,하기동 441번지 주차장,민영,부설,,대전광역시 유성구 송림로19번길 87 (하기동),대전광역시 유성구 하기동 441,1,,,1,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3915291,127.3214265,,2022-10-31
367-3-015763,,,,하기동 44-9번지 주차장,민영,부설,,대전광역시 유성구 하기로143번길 124-31 (하기동),대전광역시 유성구 하기동 44-9,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3931788,127.3408084,,2022-10-31
367-3-015764,,,,하기동 47번지 주차장,민영,부설,,대전광역시 유성구 하기로143번길 182-42 (하기동),대전광역시 유성구 하기동 47,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3931591,127.3388801,,2022-10-31
367-3-015765,,,,하기동 50-1번지 주차장,민영,부설,,대전광역시 유성구 하기로143번길 184-86 (하기동),대전광역시 유성구 하기동 50-1,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3942868,127.3358384,,2022-10-31
367-3-015766,,,,하기동 50-5번지 주차장,민영,부설,,대전광역시 유성구 하기로143번길 184-86 (하기동),대전광역시 유성구 하기동 50-5,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3943677,127.3358043,,2022-10-31
367-3-015767,,,,하기동 50-6번지 주차장,민영,부설,,대전광역시 유성구 하기로143번길 184-86 (하기동),대전광역시 유성구 하기동 50-6,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3943608,127.3361722,,2022-10-31
367-3-015768,,,,하기동 511-1번지 주차장,민영,부설,,대전광역시 유성구 북유성대로 288 (하기동),대전광역시 유성구 하기동 511-1,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3904909,127.3163637,,2022-10-31
367-3-015769,,,,하기동 51-2번지 주차장,민영,부설,,대전광역시 유성구 하기로143번길 184-83 (하기동),대전광역시 유성구 하기동 51-2,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3940682,127.3354167,,2022-10-31
367-3-015770,,,,하기동 517번지 주차장,민영,부설,,대전광역시 유성구 북유성대로 228 (하기동),대전광역시 유성구 하기동 517,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3861394,127.3197791,,2022-10-31
367-3-015771,,,,하기동 51번지 주차장,민영,부설,,,대전광역시 유성구 하기동 51,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3939792,127.3356181,,2022-10-31
367-3-015772,,,,하기동 520번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 6-30 (하기동),대전광역시 유성구 하기동 520,45,,,45,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3858475,127.3223341,,2022-10-31
367-3-015773,,2010-05-27,2011-01-25,하기동 521-1번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로58번길 22(하기동),대전광역시 유성구 하기동 521-1,2,5,,2,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3858435,127.323362,,2022-10-31
367-3-015774,,2005-10-07,2006-02-13,하기동 521-2번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로54번길 31(하기동),대전광역시 유성구 하기동 521-2,0,5,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3857356,127.323273,,2022-10-31
367-3-015775,,2009-04-08,2009-07-29,하기동 521-3번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로54번길 33(하기동),대전광역시 유성구 하기동 521-3,4,5,,4,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3856276,127.323228,,2022-10-31
367-3-015776,,2016-09-08,2017-01-26,하기동 521-4번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로54번길 35(하기동),대전광역시 유성구 하기동 521-4,5,5,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3855196,127.323171,,2022-10-31
367-3-015777,,2007-07-06,2008-01-14,하기동 521-5번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로54번길 39(하기동),대전광역시 유성구 하기동 521-5,5,5,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3854116,127.323104,,2022-10-31
