소재지 주소,용도,연면적,총주차대수,옥내기계식,옥외기계식,옥내자주식,옥외자주식,사용승인일,데이터 기준일자
서울특별시 동대문구 답십리동 260-0,공동주택,1243.84,17,0,0,13,4,2021-09-09,2023-03-22
서울특별시 동대문구 답십리동 263-5,공동주택,1020,7,0,0,0,7,1991-10-04,2023-03-22
서울특별시 동대문구 답십리동 268-3,공동주택,2873.36,54,52,0,0,2,2020-12-29,2023-03-22
서울특별시 동대문구 답십리동 320-28 외3,공동주택,702.1,8,0,0,4,4,2020-12-23,2023-03-22
서울특별시 동대문구 답십리동 327-13,공동주택,271.62,0,0,0,0,0,2004-12-20,2023-03-22
서울특별시 동대문구 답십리동 464-1,공동주택,22133.39,145,0,0,0,145,1987-08-04,2023-03-22
서울특별시 동대문구 답십리동 465-55,공동주택,1361.13,24,14,0,10,0,2020-10-27,2023-03-22
서울특별시 동대문구 답십리동 467-1,공동주택,469.84,7,0,0,6,1,2014-10-14,2023-03-22
서울특별시 동대문구 답십리동 467-4,공동주택,658.68,10,0,0,0,10,2016-09-01,2023-03-22
서울특별시 동대문구 답십리동 467-15,공동주택,499.95,8,0,0,4,4,2020-11-09,2023-03-22
서울특별시 동대문구 답십리동 467-20,공동주택,1186.79,16,0,0,11,5,2017-10-24,2023-03-22
서울특별시 동대문구 답십리동 467-22 외 1필지,공동주택,644.27,4,0,0,3,1,2020-09-17,2023-03-22
서울특별시 동대문구 답십리동 467-31,공동주택,423.42,5,0,0,3,2,2022-02-09,2023-03-22
서울특별시 동대문구 답십리동 467-40,공동주택,416.6,6,0,0,4,2,2020-05-29,2023-03-22
서울특별시 동대문구 답십리동 467-62,공동주택,469.13,6,0,0,0,6,2019-11-06,2023-03-22
서울특별시 동대문구 답십리동 467-63,공동주택,475.32,6,0,0,0,6,2019-11-06,2023-03-22
서울특별시 동대문구 답십리동 467-72,공동주택,659.43,12,0,0,8,4,2018-02-06,2023-03-22
서울특별시 동대문구 답십리동 468-5,공동주택,460.06,7,0,0,0,7,2013-09-13,2023-03-22
서울특별시 동대문구 답십리동 468-28,공동주택,355.6,8,0,0,6,2,2009-01-05,2023-03-22
서울특별시 동대문구 답십리동 470-1,공동주택,402.79,6,0,0,0,6,2019-12-24,2023-03-22
서울특별시 동대문구 답십리동 470-3,공동주택,425.19,6,0,0,4,2,2022-02-15,2023-03-22
서울특별시 동대문구 답십리동 470-6,공동주택,381.45,5,0,0,0,5,2019-05-27,2023-03-22
서울특별시 동대문구 답십리동 470-25,공동주택,724.56,9,0,0,0,9,2017-07-11,2023-03-22
"서울특별시 동대문구 답십리동 470-28,29",공동주택,710.39,10,0,0,5,5,2019-04-08,2023-03-22
서울특별시 동대문구 답십리동 470-33,공동주택,752.04,10,0,0,3,7,2021-06-11,2023-03-22
서울특별시 동대문구 답십리동 472-1,공동주택,5252.91,40,36,0,2,2,1994-12-29,2023-03-22
서울특별시 동대문구 답십리동 475-105,공동주택,656.66,16,0,0,16,0,2014-05-15,2023-03-22
서울특별시 동대문구 답십리동 475-133,공동주택,656.66,16,0,0,16,0,2014-04-10,2023-03-22
서울특별시 동대문구 답십리동 475-134,공동주택,656.66,17,0,0,17,0,2014-04-25,2023-03-22
서울특별시 동대문구 답십리동 477-10,공동주택,521.24,5,0,0,0,5,2022-12-08,2023-03-22
서울특별시 동대문구 답십리동 477-60 외2필지,공동주택,1706.5,17,0,0,17,0,2020-01-06,2023-03-22
서울특별시 동대문구 답십리동 482-69 외3필지,공동주택,599.24,8,0,0,0,8,2018-04-05,2023-03-22
서울특별시 동대문구 답십리동 482-42 외1필지,공동주택,526.31,8,0,0,4,4,2018-11-15,2023-03-22
"서울특별시 동대문구 답십리동 482-51,52,34",공동주택,688.68,12,0,0,7,5,2019-04-24,2023-03-22
서울특별시 동대문구 답십리동 482-56 외1필지,공동주택,659.18,8,0,0,4,4,2018-08-09,2023-03-22
서울특별시 동대문구 답십리동 482-65,공동주택,1318.97,20,0,0,12,8,2020-01-28,2023-03-22
서울특별시 동대문구 답십리동 482-69,공동주택,599.24,8,0,0,0,8,2018-04-05,2023-03-22
서울특별시 동대문구 답십리동 482-104,공동주택,1284.56,8,0,0,7,1,1997-03-04,2023-03-22
서울특별시 동대문구 답십리동 483-32,공동주택,293.86,3,0,0,0,3,1998-01-09,2023-03-22
서울특별시 동대문구 답십리동 486-12,공동주택,659.69,8,0,0,8,0,2003-09-08,2023-03-22
서울특별시 동대문구 답십리동 488-18,공동주택,10957.46,72,0,0,69,3,2013-08-09,2023-03-22
서울특별시 동대문구 답십리동 488-36,공동주택,394.02,6,0,0,5,1,2016-04-06,2023-03-22
서울특별시 동대문구 답십리동 493-5,공동주택,14365.69,117,92,0,25,0,1999-06-29,2023-03-22
서울특별시 동대문구 답십리동 494-2,공동주택,20294.44,143,58,0,75,10,1994-06-10,2023-03-22
서울특별시 동대문구 답십리동 498-7,공동주택,9664.65,48,40,0,8,0,2012-09-18,2023-03-22
서울특별시 동대문구 답십리동 530-4,공동주택,13977.03,135,66,0,69,0,2019-04-05,2023-03-22
서울특별시 동대문구 답십리동 530-5,공동주택,7034.23,39,0,0,20,19,1983-12-19,2023-03-22
서울특별시 동대문구 답십리동 530-6,공동주택,17466.51,104,0,0,55,49,1983-12-19,2023-03-22
서울특별시 동대문구 답십리동 530-9,공동주택,7034.23,39,0,0,20,19,1983-12-19,2023-03-22
서울특별시 동대문구 답십리동 530-10,공동주택,6449.67,38,0,0,20,18,1983-12-20,2023-03-22
서울특별시 동대문구 답십리동 530-15,공동주택,13956.41,143,124,0,19,0,2016-12-22,2023-03-22
서울특별시 동대문구 답십리동 645-8,공동주택,22743.57,95,0,0,0,95,1991-06-19,2023-03-22
서울특별시 동대문구 답십리동 775-0,공동주택,634.73,7,0,0,0,7,2003-08-18,2023-03-22
서울특별시 동대문구 답십리동 793-0,공동주택,654.56,7,0,0,0,7,2003-09-03,2023-03-22
서울특별시 동대문구 답십리동 799-0,공동주택,362.05,4,0,0,2,2,2002-12-12,2023-03-22
서울특별시 동대문구 답십리동 808-0,공동주택,31775.39,297,0,0,173,124,2003-01-08,2023-03-22
