주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,장애인전용주차구역보유여부,데이터기준일자
238-1-000001,전곡 공영주차장,공영,노상,경기도 연천군 전곡읍 일원,134면,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30분(최초 5분이상),600원,10분,300원,데이터 미집계,7000원,80000원,현금+신용카드+계좌이체,"1. 100% 면제: 긴급자동차, 군수 또는 국세청장이 교부한 성실납세자증 표지(스티커)를 부착한                          차량2. 2시간 면제 후 초과시 50% 경감  - 장애인(1~3급) 본인 소유 비사업용 자동차를 직접 운전하거나,  장애 정도가 심하여  타인으    로 하여금 대리운전을 하게 하는 경우  - 국가유공자, 6·18 자유상이자, 5·18 민주화운동부상자, 고엽제후유의증 환자, 특수임무유공    자 및 그 유족 또는 가족으로서 그 증서를 제시한 경우  - 군 병사 및 이들 병사를 동반한 면회객 차량 주차  - 「환경친화적 자동차 개발 및 보급 촉진에 관한 법률」제11조에 따른 환경친화적 자동차 표지     부착 차량3. 50%경감  - 「자동차관리법 시행규칙」제2조에 따른 경형자동차  - 저공해자동차 표지 부착 차량  - 투표 참여한 자로서 선거관리위원회가 발급한 투표확인증 제시한 경우  - 다자녀가정 우대(경기 I-plus)카드 소지자  - 장애인(4~6급) 관련 증서 소지 후 본인 소유 비사업용 자동차 직접 운전하거나, 장애 정도가     심하여 타인으로 하여금 대리운전을 하게 하는 경우  - 「노인복지법」 제26조에 따른 경로우대 대상에 해당하는 사람의 자가운전 자동차  - 「모자보건법」제2조제1호에 따른 임산부로서 모자보건수첩, 임산부 자동차 표시 등 임산부       증명자료를 제시한 경우  - 「에너지이용 합리화법」 제8조에 따른 승용차 요일제 표지를 부착한 자동차",연천군시설관리공단,031-832-2902,Y,2024-12-17
238-2-000002,전곡전통시장 공영주차장,공영,노외,경기도 연천군 전곡읍 전곡로171번길 11,125면,기타,미시행,평일+토요일+공휴일,01:00,23:59,01:00,23:59,01:00,23:59,혼합,30분(최초 10분이상),400원,10분,100원,데이터 미집계,4000원,50000원,신용카드,"1. 100% 면제: 긴급자동차, 군수 또는 국세청장이 교부한 성실납세자증 표지(스티커)를 부착한                          차량2. 2시간 면제 후 초과시 50% 경감  - 장애인(1~3급) 본인 소유 비사업용 자동차를 직접 운전하거나,  장애 정도가 심하여  타인으    로 하여금 대리운전을 하게 하는 경우  - 국가유공자, 6·18 자유상이자, 5·18 민주화운동부상자, 고엽제후유의증 환자, 특수임무유공    자 및 그 유족 또는 가족으로서 그 증서를 제시한 경우  - 군 병사 및 이들 병사를 동반한 면회객 차량 주차  - 「환경친화적 자동차 개발 및 보급 촉진에 관한 법률」제11조에 따른 환경친화적 자동차 표지     부착 차량3. 50%경감  - 「자동차관리법 시행규칙」제2조에 따른 경형자동차  - 저공해자동차 표지 부착 차량  - 투표 참여한 자로서 선거관리위원회가 발급한 투표확인증 제시한 경우  - 다자녀가정 우대(경기 I-plus)카드 소지자  - 장애인(4~6급) 관련 증서 소지 후 본인 소유 비사업용 자동차 직접 운전하거나, 장애 정도가     심하여 타인으로 하여금 대리운전을 하게 하는 경우  - 「노인복지법」 제26조에 따른 경로우대 대상에 해당하는 사람의 자가운전 자동차  - 「모자보건법」제2조제1호에 따른 임산부로서 모자보건수첩, 임산부 자동차 표시 등 임산부       증명자료를 제시한 경우  - 「에너지이용 합리화법」 제8조에 따른 승용차 요일제 표지를 부착한 자동차",연천군시설관리공단,031-832-2902,Y,2024-12-17
238-2-000003,전곡역 공영주차장,공영,노외,경기도 연천군 전곡읍 전곡리 333-281,55면,기타,미시행,평일+토요일+공휴일,02:00,23:59,02:00,23:59,02:00,23:59,혼합,30분(최초 10분이상),400원,10분,100원,데이터 미집계,4000원,50000원,신용카드,"1. 100% 면제: 긴급자동차, 군수 또는 국세청장이 교부한 성실납세자증 표지(스티커)를 부착한                          차량2. 2시간 면제 후 초과시 50% 경감  - 장애인(1~3급) 본인 소유 비사업용 자동차를 직접 운전하거나,  장애 정도가 심하여  타인으    로 하여금 대리운전을 하게 하는 경우  - 국가유공자, 6·18 자유상이자, 5·18 민주화운동부상자, 고엽제후유의증 환자, 특수임무유공    자 및 그 유족 또는 가족으로서 그 증서를 제시한 경우  - 군 병사 및 이들 병사를 동반한 면회객 차량 주차  - 「환경친화적 자동차 개발 및 보급 촉진에 관한 법률」제11조에 따른 환경친화적 자동차 표지     부착 차량3. 50%경감  - 「자동차관리법 시행규칙」제2조에 따른 경형자동차  - 저공해자동차 표지 부착 차량  - 투표 참여한 자로서 선거관리위원회가 발급한 투표확인증 제시한 경우  - 다자녀가정 우대(경기 I-plus)카드 소지자  - 장애인(4~6급) 관련 증서 소지 후 본인 소유 비사업용 자동차 직접 운전하거나, 장애 정도가     심하여 타인으로 하여금 대리운전을 하게 하는 경우  - 「노인복지법」 제26조에 따른 경로우대 대상에 해당하는 사람의 자가운전 자동차  - 「모자보건법」제2조제1호에 따른 임산부로서 모자보건수첩, 임산부 자동차 표시 등 임산부       증명자료를 제시한 경우  - 「에너지이용 합리화법」 제8조에 따른 승용차 요일제 표지를 부착한 자동차",연천군시설관리공단,031-832-2902,Y,2024-12-17
