주차일시,주차장구분,주차장명,소재지 도로명 주소,주차구획수,운영요일,입차대수,출차대수,정기주차 이용대수,일일주차 이용대수
2023-01-11,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,134,137,82,145
2023-01-11,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,246,252,140,364
2023-01-11,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,527,545,274,762
2023-01-11,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,291,288,186,444
2023-01-11,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,481,474,32,484
2023-01-11,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,426,427,76,491
2023-01-12,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,137,128,80,127
2023-01-12,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,218,218,131,324
2023-01-12,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,544,548,265,782
2023-01-12,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,295,290,168,446
2023-01-12,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,541,542,33,549
2023-01-12,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,349,353,76,413
2023-01-13,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,183,151,101,150
2023-01-13,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,235,211,142,330
2023-01-13,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,552,506,255,730
2023-01-13,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,322,309,182,482
2023-01-13,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,595,572,28,577
2023-01-13,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,476,450,70,506
2023-01-14,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,285,354,62,194
2023-01-14,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,246,302,30,224
2023-01-14,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,393,521,45,374
2023-01-14,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,364,368,53,371
2023-01-14,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,568,648,19,533
2023-01-14,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,391,397,50,398
2023-01-15,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,162,280,39,162
2023-01-15,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,184,284,21,236
2023-01-15,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,164,302,12,222
2023-01-15,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,210,282,25,253
2023-01-15,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,276,334,4,279
2023-01-15,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,180,220,9,206
2023-01-16,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,141,164,88,172
2023-01-16,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,210,210,135,334
2023-01-16,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,479,461,271,702
2023-01-16,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,257,272,201,456
2023-01-16,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,498,494,29,507
2023-01-16,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,433,432,77,500
2023-01-17,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,176,169,88,163
2023-01-17,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,184,194,142,301
2023-01-17,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,486,494,275,732
2023-01-17,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,287,276,185,454
2023-01-17,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,434,435,36,450
2023-01-17,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,422,418,85,484
2023-01-18,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,162,157,92,139
2023-01-18,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,252,253,151,378
2023-01-18,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,480,494,264,719
2023-01-18,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,317,321,177,486
2023-01-18,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,514,518,34,522
2023-01-18,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,416,422,70,477
2023-01-19,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,143,161,85,137
2023-01-19,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,247,239,136,344
2023-01-19,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,612,583,282,831
2023-01-19,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,342,340,183,508
2023-01-19,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,507,506,39,521
2023-01-19,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,429,419,83,493
2023-01-20,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,204,159,98,159
2023-01-20,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,304,277,160,402
2023-01-20,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,544,506,259,718
2023-01-20,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,413,379,180,532
2023-01-20,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,609,591,35,586
2023-01-20,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,512,473,80,540
2023-01-21,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,412,377,40,184
2023-01-21,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,557,267,21,184
2023-01-21,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,483,382,18,184
2023-01-21,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,537,392,25,348
2023-01-21,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,533,434,3,275
2023-01-21,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,275,210,16,192
2023-01-22,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,405,394,29,216
2023-01-22,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,514,200,7,146
2023-01-22,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,360,232,4,97
2023-01-22,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,391,300,12,270
2023-01-22,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,373,239,2,181
2023-01-22,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,239,163,8,158
2023-01-23,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,353,333,31,203
2023-01-23,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,476,263,14,193
2023-01-23,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,453,259,10,135
2023-01-23,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,428,328,13,286
2023-01-23,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,558,395,1,250
2023-01-23,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,267,238,11,232
2023-01-24,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,247,285,34,165
2023-01-24,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,379,190,17,169
2023-01-24,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,313,237,15,128
2023-01-24,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,321,293,19,259
2023-01-24,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,582,463,5,295
2023-01-24,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,204,201,20,202
2023-01-25,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,150,155,69,163
2023-01-25,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,167,143,133,267
2023-01-25,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,321,309,233,504
2023-01-25,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,247,257,177,416
2023-01-25,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,543,540,30,545
2023-01-25,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,499,505,82,579
2023-01-26,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,152,166,81,154
2023-01-26,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,168,175,144,287
2023-01-26,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,433,442,264,669
2023-01-26,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,278,272,163,429
2023-01-26,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,510,508,35,524
2023-01-26,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,420,418,70,475
2023-01-27,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,171,151,79,143
2023-01-27,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,224,209,146,324
2023-01-27,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,512,486,258,706
2023-01-27,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,310,284,160,436
2023-01-27,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,612,599,32,598
2023-01-27,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,455,416,70,468
2023-01-28,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,229,331,52,152
2023-01-28,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,233,297,39,231
2023-01-28,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,380,453,43,328
2023-01-28,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,331,353,44,324
2023-01-28,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,602,653,18,516
2023-01-28,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,410,404,44,411
2023-01-29,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,183,293,35,185
2023-01-29,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,180,250,23,214
2023-01-29,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,174,257,13,137
2023-01-29,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,177,271,20,232
2023-01-29,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,274,367,3,269
2023-01-29,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,165,198,12,186
2023-01-30,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,127,152,75,173
2023-01-30,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,202,224,156,353
2023-01-30,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,462,451,283,716
2023-01-30,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,555,567,180,732
2023-01-30,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,515,522,26,532
2023-01-30,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,464,460,77,533
2023-01-31,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,131,128,70,122
2023-01-31,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,212,206,142,327
2023-01-31,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,528,542,268,774
2023-01-31,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,272,270,167,427
2023-01-31,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,529,531,33,539
2023-01-31,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,418,411,78,474
2023-02-01,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,145,153,66,126
2023-02-01,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,207,217,144,327
2023-02-01,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,487,471,272,708
2023-02-01,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,276,276,176,441
2023-02-01,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,446,447,34,464
