구   분,주차장명,주    소,주차면수,취득일자,급   지,요   금,비   고
부설주차장(부설),시청부설주차장,경기도 양주시 부흥로 1533(남방동),503면,Jul-07,1급지,"1시간무료, 10분당200원",공단직영
공영주차장(노상),덕정공영주차장,"경기도 양주시 덕정동 235-5,256-1 일원",34면,May-09,1급지,"최초30분까지500원,10분당200원",제3자 위탁관리
