주차장일련번호,주차장명,주차장전화번호,주차장주소,주차장위도,주차장경도,주차장공간,주차장일반공간,주차장장애인공간,주차장전기차공간,주차장구분,주차장유형,주차장요금제유형,주차장급지,주차장기본시간,주차장기본요금,주차장추가시간,주차장추가요금,주차장최대시간,주차장1일최대요금,주차장유료운영시간,주차장무료운영시간,비고,실시간관제여부,파일명,파일원본명,등록수,등록일시,등록아이피,등록아이디,수정일시,수정아이피,수정아이디,삭제일시,삭제아이피,삭제아이디,폐쇄회로그룹
263,금창앵글,,광주광역시 북구 중흥동 717-26,35.1586734,126.9093626,1,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
264,호텔여기조아,,광주광역시 북구 중흥동 717-3,35.1588594,126.9094284,18,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
265,학명빌,,광주광역시 북구 중흥동 718-3,35.1593153,126.9094476,12,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
266,호텔더그랑,,광주광역시 북구 중흥동 718-8,35.1595287,126.9088226,8,0,0,0,상가등,건물부속,유료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
267,대광빌,,광주광역시 북구 중흥동 719-3,35.1595919,126.9084075,5,5,0,0,상가등,건물부속,유료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
268,현대빌라,,광주광역시 북구 중흥동 719-30,35.1595862,126.9076773,3,3,0,0,상가등,건물부속,유료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
269,도도의자,,광주광역시 북구 중흥동 720-1,35.1593952,126.9074694,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
270,가경종합기계,,광주광역시 북구 중흥동 720-13,35.1589824,126.9080914,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
271,OK광주퀵서비스,,광주광역시 북구 중흥동 720-16,35.1589945,126.9078744,1,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
272,어울림빌라,,광주광역시 북구 중흥동 720-8,35.1590806,126.9076867,9,0,0,0,상가등,건물부속,유료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
273,등뼈,,광주광역시 북구 중흥동 721-8,35.1592773,126.9068655,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
274,에프엠푸드,,광주광역시 북구 중흥동 722-3,35.1601512,126.9073833,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
275,중흥프라임베르가,,광주광역시 북구 중흥동 722-5,35.1604412,126.907513,115,111,4,0,상가등,건물부속,유료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
276,목화상사,,광주광역시 북구 중흥동 723-3,35.1575251,126.9097727,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
277,그린365할인마트,,광주광역시 북구 중흥동 723-6,35.1577028,126.9099322,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
278,행단경로당 무더위쉼터,,광주광역시 북구 중흥동 743-13,35.1642983,126.9168959,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
279,레인보우중고상설할인매장,,광주광역시 북구 중흥동 744-21,35.1655871,126.9152288,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
280,대영휘트니스센터 주차장,,광주광역시 북구 중흥동 744-6,35.1654353,126.9154237,40,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,대영휘트니스센터 주차장
281,프로시트,,광주광역시 북구 중흥동 745-22,35.1657156,126.9145748,5,0,0,0,상가등,건물부속,유료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
282,스마트빌라,,광주광역시 북구 중흥동 749-1,35.1640191,126.9136001,12,0,0,0,상가등,건물부속,유료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
283,열린방역 아뜨레마트,,광주광역시 북구 중흥동 749-16,35.1638785,126.9134076,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
284,셀프빨래방,,광주광역시 북구 중흥동 782-3,35.172319,126.9064438,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
285,대영휘트니스클럽,,광주광역시 북구 중흥동 806-1,35.1652271,126.9159698,40,40,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
286,㈜화신종합건재,,광주광역시 북구 중흥동 806-11,35.1648298,126.9158161,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
287,재현하늘창도어몰딩,,광주광역시 북구 중흥동 806-11,35.1648298,126.9158161,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
288,㈜화신종합건재 창고,,광주광역시 북구 중흥동 806-31,35.1648591,126.9157097,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
289,㈜영인소방,,광주광역시 북구 중흥동 806-8,35.1649617,126.9158697,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
290,영무예다음,,광주광역시 북구 중흥동 819,35.1718107,126.9185413,424,412,12,0,상가등,건물부속,유료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
291,국공립중흥하나어린이집,,광주광역시 북구 중흥동 222-6,35.1705117,126.9131463,4,3,1,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
292,광주제일풍경채센트럴파크아파트,,광주광역시 북구 중흥동 224-110,35.1706686,126.9147388,2,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,공사중 (2022.02.예정),N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
293,광주제일풍경채센트럴파크아파트,,광주광역시 북구 중흥동 224-45,35.1703192,126.9143333,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,공사중 (2022.02.예정),N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
294,광주제일풍경채센트럴파크아파트,,광주광역시 북구 중흥동 224-77,35.170584,126.914362,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,공사중 (2022.02.예정),N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
295,골드팰리스,,광주광역시 북구 중흥동 320-14,35.1721259,126.9070854,9,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
296,성균관스위트빌라,,광주광역시 북구 중흥동 320-15,35.1720893,126.9072302,11,11,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
297,TOP BILL,,광주광역시 북구 중흥동 320-16,35.1721952,126.9068142,3,3,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
298,탑클래스,,광주광역시 북구 중흥동 320-6,35.1719289,126.9065973,9,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
299,해어화,,광주광역시 북구 중흥동 321-1,35.1712323,126.9063341,4,4,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
300,풍경채,,광주광역시 북구 중흥동 321-15,35.1709298,126.9066457,9,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
301,골드빌,,광주광역시 북구 중흥동 321-22,35.170839,126.9067787,8,8,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
302,엔젤하우스,,광주광역시 북구 중흥동 321-27,35.1711169,126.9065784,9,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
303,라비앙,,광주광역시 북구 중흥동 322-1,35.1707632,126.9062185,4,4,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,생활도로,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
304,하이빌,,광주광역시 북구 중흥동 322-11,35.1703905,126.9067377,4,4,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
305,햇살마루,,광주광역시 북구 중흥동 322-3,35.1707179,126.9064015,9,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
306,농협,,광주광역시 북구 중흥동 322-9,35.1704593,126.9063535,8,8,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
307,중흥아트빌,,광주광역시 북구 중흥동 325-22,35.168127,126.9085079,2,2,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
308,광남빌딩,,광주광역시 북구 중흥동 325-4,35.1682045,126.9071738,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,생활도로,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
309,중흥하우스,,광주광역시 북구 중흥동 325-55,35.1679064,126.9084116,2,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,생활도로,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
310,광남타일위생도기,,광주광역시 북구 중흥동 325-6,35.168167,126.9074021,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
311,지성한의원,,광주광역시 북구 중흥동 326-1,35.1697639,126.9077174,1,1,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
312,서진빌라,,광주광역시 북구 중흥동 326-23,35.1696489,126.9079385,10,10,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
313,늘푸른빌,,광주광역시 북구 중흥동 326-49,35.1696108,126.9080642,10,10,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
314,피렌체,,광주광역시 북구 중흥동 327-20,35.1706981,126.9083596,4,4,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
315,참빛원룸,,광주광역시 북구 중흥동 327-3,35.170662,126.9081769,1,1,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
316,예송추어탕,,광주광역시 북구 중흥동 327-7,35.1702605,126.9079126,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
317,명가하우스,,광주광역시 북구 중흥동 328-1,35.170549,126.9070163,5,5,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
318,행복가든,,광주광역시 북구 중흥동 328-16,35.1704422,126.9069817,5,5,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
319,월정빌라,,광주광역시 북구 중흥동 328-4,35.1703954,126.9076527,2,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
320,그리스빌,,광주광역시 북구 중흥동 330-1,35.1715423,126.9074229,8,8,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
321,석이네중고,,광주광역시 북구 중흥동 330-19,35.1713796,126.9080804,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
322,편한세상,,광주광역시 북구 중흥동 330-3,35.1714061,126.907989,9,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
323,에버그린,,광주광역시 북구 중흥동 330-30,35.1711554,126.9074282,11,11,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
324,송학마을,,광주광역시 북구 중흥동 331-107,35.1707505,126.910511,6,6,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
325,꽃피는마을,,광주광역시 북구 중흥동 331-15,35.17155,126.908412,6,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
326,호전카센타,,광주광역시 북구 중흥동 331-21,35.1709546,126.9081853,2,2,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
327,스타빌,,광주광역시 북구 중흥동 331-3,35.1717148,126.9088206,5,5,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
328,아름빌,,광주광역시 북구 중흥동 331-56,35.1711465,126.9095016,10,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
329,하나원룸,,광주광역시 북구 중흥동 331-60,35.1714973,126.9096383,3,3,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
330,은가비,,광주광역시 북구 중흥동 331-71,35.1708348,126.9089919,8,8,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
331,더캐슬,,광주광역시 북구 중흥동 331-72,35.1708953,126.9087617,8,8,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
332,대명하우스,,광주광역시 북구 중흥동 331-87,35.1708896,126.9100014,12,12,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
333,청학동사랑채,,광주광역시 북구 중흥동 331-96,35.1708021,126.9101571,16,16,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
334,엘리시아,,광주광역시 북구 중흥동 332-12,35.1717115,126.9078663,9,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
335,오션빌,,광주광역시 북구 중흥동 332-22,35.1718266,126.9081024,9,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
336,멘토과외센터,,광주광역시 북구 중흥동 332-23,35.1718528,126.9082465,1,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,2층부터 공동주택,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
337,위너스빌,,광주광역시 북구 중흥동 332-37,35.1716981,126.9077154,12,12,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
338,오페라하우스,,광주광역시 북구 중흥동 332-7,35.1716884,126.9081824,10,10,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
339,현대모비스,,광주광역시 북구 중흥동 333-13,35.1723752,126.9084179,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
340,고기장군동동이,,광주광역시 북구 중흥동 333-16,35.172325,126.9082016,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
341,고기장군동동이,,광주광역시 북구 중흥동 333-17,35.172325,126.9082016,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
342,스튜디오94,,광주광역시 북구 중흥동 333-2,35.1723837,126.9069527,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
343,골든빌,,광주광역시 북구 중흥동 333-29,35.1721603,126.9079662,9,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
344,㈜성하건설,,광주광역시 북구 중흥동 333-32,35.1721518,126.9077805,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
345,열린미용실,,광주광역시 북구 중흥동 333-4,35.1723232,126.907238,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
346,오월에커피,,광주광역시 북구 중흥동 333-7,35.1724059,126.9073245,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
347,KN auto Works,,광주광역시 북구 중흥동 334-17,35.1723595,126.9087191,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
348,마을식당,,광주광역시 북구 중흥동 334-25,35.1720233,126.9089952,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
349,마을식당,,광주광역시 북구 중흥동 334-6,35.1719109,126.90889,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
350,플라워갤러리,,광주광역시 북구 중흥동 335-10,35.1725464,126.9097951,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
351,소망빌,,광주광역시 북구 중흥동 335-21,35.1722666,126.9099041,4,4,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
352,거북이예술원,,광주광역시 북구 중흥동 335-32,35.1725825,126.909902,0,0,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,2025-08-28,211.***.***.***,b***********,
353,한국미용박물관,,광주광역시 북구 중흥동 335-39,35.1723288,126.909329,5,5,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
354,다솜빌,,광주광역시 북구 중흥동 335-7,35.1724349,126.9101365,10,10,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
355,나린빌,,광주광역시 북구 중흥동 335-8,35.1722759,126.9100749,10,10,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
356,다이소,,광주광역시 북구 중흥동 336-1,35.1728515,126.9106557,8,9,0,0,상가등,건물부속,무료,,0,0,0,0,0,0,,,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-05-27,192.***.***.***,j*******,,,,,,,
