주차장일련번호,주차장명,주차장전화번호,주차장주소,주차장위도,주차장경도,주차장공간,주차장일반공간,주차장장애인공간,주차장전기차공간,주차장구분,주차장유형,주차장요금제유형,주차장급지,주차장기본시간,주차장기본요금,주차장추가시간,주차장추가요금,주차장최대시간,주차장1일최대요금,주차장유료운영시간,주차장무료운영시간,비고,실시간관제여부,파일명,파일원본명,등록수,등록일시,등록아이피,등록아이디,수정일시,수정아이피,수정아이디,삭제일시,삭제아이피,삭제아이디,폐쇄회로그룹
15,운암어린이공원 지하 공영주차장,,광주광역시 북구 운암동 95,35.1739879,126.8815157,56,54,2,0,일반공영,근린,유료,1,30,700,15,350,0,8000,평일 08:00~19:00,평일 19:00~익일 08:00 / 주말,입차 후 한시간 무료 / 2시간 초과 시 2배 징수,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-06-20,211.253.121.34,b***********,,,,운암어린이공원 지하 공영주차장
16,효죽공영주차장,,광주광역시 북구 중흥동 358-3 외 2,35.1728748,126.9116733,201,192,7,2,일반공영,근린,유료,,10,200,10,150,0,6000,평일 08:00~19:00,평일 19:00~익일 08:00 / 주말,입차 후 한시간 무료 / 2시간 초과 시 매 10분 250원,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2023-03-09,119.200.4.6,j*******,,,,효죽공영주차장
17,효죽2공영주차장,,광주광역시 북구 중흥동 336-3,35.1726873,126.9111373,200,192,6,2,일반공영,근린,유료,,10,200,10,150,0,6000,평일 08:00~19:00,평일 19:00~익일 08:00 / 주말,입차 후 한시간 무료 / 2시간 초과 시 매 10분 250원,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2023-03-09,119.200.4.6,j*******,,,,효죽2공영주차장
18,첨단산단 완충녹지 공영주차장,,광주광역시 북구 연제동 1026-1,35.20603,126.8602314,110,100,4,6,일반공영,근린,유료,4,10,200,10,100,0,4000,평일 08:00~19:00,평일 19:00~익일 08:00 / 주말,입차 후 한시간 무료 / 2시간 초과 시 2배 징수,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-06-20,211.253.121.34,b***********,,,,첨단산단 완충녹지 공영주차장
19,용봉제1공영주차장,,광주광역시 북구 용봉동 1377-2,35.1790737,126.8938089,17,16,1,0,일반공영,근린,유료,2,30,400,15,200,0,6400,평일 08:00~19:00,평일 19:00~익일 08:00 / 주말,입차 후 한시간 무료 / 2시간 초과 시 2배 징수,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-11-15,211.253.121.34,b***********,,,,용봉제1공영주차장
20,용봉제2공영주차장,,광주광역시 북구 용봉동 1231-1,35.1805177,126.8987109,17,16,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,,,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2023-10-23,119.200.4.6,j*******,,,,용봉제2공영주차장
21,용봉제3공영주차장,,광주광역시 북구 용봉동 1228-1,35.1805401,126.9004486,14,13,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-11-15,211.253.121.34,b***********,,,,용봉제3공영주차장
22,북구문화센터 공영주차장,,광주광역시 북구 양산동 343-1,35.201508,126.8731679,75,72,3,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,북구문화센터 공영주차장
23,본촌동 공영주차장,,광주광역시 북구 본촌동 2931,35.2164204,126.8788627,28,26,2,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,본촌동 공영주차장
24,삼각동 공영주차장,,광주광역시 북구 삼각동 781-3,35.2012441,126.8985665,33,30,3,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,삼각동 공영주차장
25,일곡엘리체 공영주차장,,광주광역시 북구 삼각동 산 148-1,35.1968985,126.8983442,46,41,3,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-08-02,211.253.121.34,b***********,,,,일곡엘리체 공영주차장
26,중흥1동 쌈지공영주차장,,광주광역시 북구 중흥동 715-1,35.1598452,126.9092789,17,16,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,중흥1동 쌈지공영주차장
27,중흥3동 쌈지공영주차장,,광주광역시 북구 중흥동 802-13 외 1,35.1669663,126.9156037,10,9,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,중흥3동 쌈지공영주차장
28,중흥3동 쌈지공영주차장,,광주광역시 북구 중흥동 523,35.1685557,126.9160885,9,9,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,중흥3동 쌈지공영주차장
29,중앙동 쌈지공영주차장,,광주광역시 북구 유동 103-4 103-49,35.1608311,126.905924,8,8,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,중앙동 쌈지공영주차장
30,임동 쌈지공영주차장,,광주광역시 북구 임동 191-3 외 1,35.1641634,126.8994906,10,9,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,임동 쌈지공영주차장
