지형지물부호,관리번호,행정읍면동,법정읍면동,도엽번호,관리기관,도로구간번호,설치일자,주차장위치구분,주차요금구분,요금,주차면수,장애자주차면수,전체면적,운영시간(개장시간),운영시간(폐장시간),주차방향,데이터기준일자
AE230,109,4717014300,4717011800,368072065D,MNG001,82,2017-01-01,PST001,CHR002,,1,0,0,8:00,20:00,PKN001,2023-08-31
AE230,65,4717014400,4717011200,368072067D,MNG001,67050,2017-01-01,PST001,CHR002,30분당500원,4,0,54.83,8:00,20:00,PKN003,2023-08-31
AE230,8022,4717055500,4717013000,368081666D,MNG001,8021,2010-01-01,PST002,CHR001,무료,11,0,109.47,0:00,0:00,PKN003,2023-08-31
AE230,125,4717014400,4717011600,368072066C,MNG001,281,2017-01-01,PST001,CHR002,,4,0,0,,,PKN001,2023-08-31
AE230,2005,4717025000,4717025021,368071745B,MNG001,20668,2017-01-01,PST002,CHR001,무료,30,0,335.06,0:00,0:00,PKN003,2023-08-31
AE230,8028,4717055500,4717013000,368081666D,MNG001,8021,2010-01-01,PST002,CHR001,무료,11,0,109.64,0:00,0:00,PKN003,2023-08-31
AE230,100014,4717011000,4717013700,368081698C,MNG001,140362,1990-01-01,PST002,CHR001,무료,15,0,180.57,0:00,0:00,PKN003,2023-08-31
AE230,81,4717014400,4717011200,368072077B,MNG001,77123,2017-01-01,PST001,CHR002,30분당500원,2,0,22.63,8:00,20:00,PKN003,2023-08-31
AE230,18,4717012800,4717012800,368072044B,MNG001,44153,2017-01-01,PST001,CHR001,,3,0,32.15,,,PKN003,2023-08-31
AE230,250,4717014500,4717014000,368072505B,MNG001,2061,2017-01-01,PST001,CHR001,,4,0,48.29,,,PKN001,2023-08-31
AE230,221,4717011000,4717011000,368081681A,MNG001,567,2017-01-01,PST001,CHR001,,7,0,79.57,,,PKN001,2023-08-31
AE230,5002,4717012200,4717012200,368072052C,MNG001,6031,2017-01-01,PST001,CHR001,무료,8,0,92.13,0:00,0:00,PKN001,2023-08-31
AE230,205,4717011000,4717011000,368081681D,MNG001,514,2017-01-01,PST001,CHR001,,1,0,13.25,,,PKN001,2023-08-31
AE230,236,4717014500,4717014000,368072095D,MNG001,1981,2017-01-01,PST001,CHR001,,15,0,188.62,,,PKN001,2023-08-31
AE230,5007,4717012200,4717012200,368072052C,MNG001,6031,2017-01-01,PST001,CHR001,무료,4,0,35.95,0:00,0:00,PKN001,2023-08-31
AE230,2004,4717025000,4717025021,368071745B,MNG001,20668,2017-01-01,PST002,CHR001,무료,14,0,134.2,0:00,0:00,PKN003,2023-08-31
AE230,8017,4717055500,4717013000,368081666D,MNG001,8021,2010-01-01,PST002,CHR001,무료,17,0,171.63,0:00,0:00,PKN003,2023-08-31
AE230,8002,4717055500,4717013000,368081655D,MNG001,8005,2010-01-01,PST002,CHR001,무료,7,1,58.73,0:00,0:00,PKN003,2023-08-31
AE230,48,4717014400,4717010300,368072067A,MNG001,67097,2017-01-01,PST001,CHR002,30분당500원,6,0,74.33,8:00,20:00,PKN003,2023-08-31
AE230,116,4717014300,4717011900,368072065D,MNG001,69,2017-01-01,PST001,CHR002,,1,0,0,,,PKN001,2023-08-31
AE230,122,4717014300,4717011700,368072066C,MNG001,66,2017-01-01,PST001,CHR002,,2,0,0,,,PKN001,2023-08-31
AE230,5020,4717013300,4717013300,368072071D,MNG001,6758,2017-01-01,PST001,CHR001,무료,3,0,49.09,0:00,0:00,PKN001,2023-08-31
AE230,8008,4717055500,4717013000,368081655D,MNG001,8005,2010-01-01,PST002,CHR001,무료,6,1,61.33,0:00,0:00,PKN003,2023-08-31
AE230,242,4717014500,4717014000,368072505B,MNG001,1995,2017-01-01,PST001,CHR001,,16,0,235.67,,,PKN001,2023-08-31
AE230,53,4717014400,4717010100,368072067C,MNG001,67032,2017-01-01,PST001,CHR002,30분당500원,1,0,11.8,7:00,20:00,PKN003,2023-08-31
AE230,111,4717014300,4717011700,368072075B,MNG001,78,2017-01-01,PST001,CHR002,,5,0,0,,,PKN001,2023-08-31
AE230,126,4717014400,4717011600,368072066C,MNG001,281,2017-01-01,PST001,CHR002,,2,0,0,,,PKN001,2023-08-31
AE230,8005,4717055500,4717013000,368081655D,MNG001,8005,2010-01-01,PST002,CHR001,무료,6,0,56.06,0:00,0:00,PKN003,2023-08-31
AE230,115,4717014300,4717011900,368072065D,MNG001,69,2017-01-01,PST001,CHR002,,1,0,0,,,PKN001,2023-08-31
AE230,31,4717014300,4717012000,368072065C,MNG001,65021,2017-01-01,PST001,CHR002,30분당,1,0,11.58,8:00,20:00,PKN003,2023-08-31
AE230,242,4717014500,4717014000,368072505B,MNG001,1995,2017-01-01,PST001,CHR001,,16,0,195.62,,,PKN001,2023-08-31
AE230,8024,4717055500,4717013000,368081666D,MNG001,8021,2010-01-01,PST002,CHR001,무료,11,0,108.23,0:00,0:00,PKN003,2023-08-31
AE230,26,4717014300,4717012000,368072065C,MNG001,65018,2017-01-01,PST001,CHR002,30분당500원,1,0,11.77,18:00,20:00,PKN003,2023-08-31
AE230,69,4717014400,4717011200,368072077B,MNG001,67053,2017-01-01,PST001,CHR002,30분당500원,2,0,23.04,8:00,20:00,PKN003,2023-08-31
AE230,6,4717012200,4717012200,368072064D,MNG001,64032,2017-01-01,PST001,CHR001,,4,0,67.32,,,PKN003,2023-08-31
AE230,8027,4717055500,4717013000,368081666D,MNG001,8021,2010-01-01,PST002,CHR001,무료,11,0,109.64,0:00,0:00,PKN003,2023-08-31
AE230,5005,4717012200,4717012200,368072062D,MNG001,5899,2017-01-01,PST001,CHR001,무료,14,0,192.91,0:00,0:00,PKN003,2023-08-31
AE230,255,4717014500,4717014000,368072506A,MNG001,2058,2017-01-01,PST001,CHR001,,23,0,299.69,,,PKN001,2023-08-31
AE230,5010,4717012700,4717012900,368072063A,MNG001,6800,2017-01-01,PST001,CHR001,무료,6,0,64.73,0:00,0:00,PKN001,2023-08-31
