위치,주소,개방날짜,미개방날짜,개방시간,요금,무료개방시간,명절무료개방유무
제주본사,제주특별자치도 서귀포시 서호중앙로 63,상시개방,"건물 내 26면은 주말, 휴일 미개방",24시간,무료,상시개방,O
서울지사,서울특별시 강남구 언주로 508,상시개방,없음(상시개방),24시간,"30분 1,700원",없음(상시유료),X
