주차장관리번호,"주차혼잡상태",총주차구획수,총잔여주차구획수,주차예약가능단위구획수
44660-29299-00436-00-1,,519,0,
44702-29299-00146-00-1,,530,0,
44660-29299-00437-00-1,,333,0,
44660-29299-00438-00-1,,1316,0,
44719-19299-00146-00-1,,103,0,
44923-29299-00146-00-1,,231,0,
45006-19299-00146-00-1,,179,0,
45001-19299-00146-00-1,,131,0,
44623-29299-00147-00-1,,248,0,
44713-29299-00146-00-1,,155,0,
44686-29299-00146-00-1,,98,0,
44601-19299-00146-00-1,,145,0,
44701-29299-00146-00-1,,211,0,
44703-19299-00146-00-1,,105,0,
44052-29299-00146-00-1,,83,0,
44019-29299-00146-00-1,,73,0,
44026-19299-00146-00-1,,156,0,
44659-29299-00581-00-1,,775,0,
44659-29299-00582-00-1,,388,0,
44659-29299-00583-00-1,,77,0,
44659-29299-00584-00-1,,257,0,
44707-29299-00147-00-1,,447,0,
44638-29299-00147-00-1,,123,0,
44241-19299-00147-00-1,,126,0,
44660-29299-00439-00-1,,519,0,
44702-29299-00147-00-1,,530,0,
44660-29299-00440-00-1,,333,0,
44660-29299-00441-00-1,,1316,0,
44719-19299-00147-00-1,,103,0,
44923-29299-00147-00-1,,231,0,
45006-19299-00147-00-1,,179,0,
45001-19299-00147-00-1,,131,0,
44623-29299-00148-00-1,,248,0,
44713-29299-00147-00-1,,155,0,
44686-29299-00147-00-1,,98,0,
44601-19299-00147-00-1,,145,0,
44701-29299-00147-00-1,,211,0,
44703-19299-00147-00-1,,105,0,
44052-29299-00147-00-1,,83,0,
44019-29299-00147-00-1,,73,0,
44026-19299-00147-00-1,,156,0,
44659-29299-00585-00-1,,775,0,
44659-29299-00586-00-1,,388,0,
44659-29299-00587-00-1,,77,0,
44659-29299-00588-00-1,,257,0,
44707-29299-00148-00-1,,447,0,
44638-29299-00148-00-1,,123,0,
44241-19299-00148-00-1,,126,0,
44660-29299-00442-00-1,,519,0,
44702-29299-00148-00-1,,530,0,
44660-29299-00443-00-1,,333,0,
44660-29299-00444-00-1,,1316,0,
44719-19299-00148-00-1,,103,0,
44923-29299-00148-00-1,,231,0,
45006-19299-00148-00-1,,179,0,
45001-19299-00148-00-1,,131,0,
44623-29299-00149-00-1,,248,0,
44713-29299-00148-00-1,,155,0,
44686-29299-00148-00-1,,98,0,
44601-19299-00148-00-1,,145,0,
44701-29299-00148-00-1,,211,0,
44703-19299-00148-00-1,,105,0,
44052-29299-00148-00-1,,83,0,
44019-29299-00148-00-1,,73,0,
44026-19299-00148-00-1,,156,0,
44659-29299-00589-00-1,,775,0,
44659-29299-00590-00-1,,388,0,
44659-29299-00591-00-1,,77,0,
44659-29299-00592-00-1,,257,0,
44707-29299-00149-00-1,,447,0,
44638-29299-00149-00-1,,123,0,
44241-19299-00149-00-1,,126,0,
44660-29299-00445-00-1,,519,0,
44702-29299-00149-00-1,,530,0,
44660-29299-00446-00-1,,333,0,
44660-29299-00447-00-1,,1316,0,
44719-19299-00149-00-1,,103,0,
44923-29299-00149-00-1,,231,0,
45006-19299-00149-00-1,,179,0,
45001-19299-00149-00-1,,131,0,
44623-29299-00150-00-1,,248,0,
44713-29299-00149-00-1,,155,0,
44686-29299-00149-00-1,,98,0,
44601-19299-00149-00-1,,145,0,
44701-29299-00149-00-1,,211,0,
44703-19299-00149-00-1,,105,0,
44052-29299-00149-00-1,,83,0,
44019-29299-00149-00-1,,73,0,
44026-19299-00149-00-1,,156,0,
44659-29299-00593-00-1,,775,0,
44659-29299-00594-00-1,,388,0,
44659-29299-00595-00-1,,77,0,
44659-29299-00596-00-1,,257,0,
44707-29299-00150-00-1,,447,0,
44638-29299-00150-00-1,,123,0,
44241-19299-00150-00-1,,126,0,
44660-29299-00448-00-1,,519,0,
44702-29299-00150-00-1,,530,0,
44660-29299-00449-00-1,,333,0,
44660-29299-00450-00-1,,1316,0,
44719-19299-00150-00-1,,103,0,
44923-29299-00150-00-1,,231,0,
45006-19299-00150-00-1,,179,0,
45001-19299-00150-00-1,,131,0,
44623-29299-00151-00-1,,248,0,
44713-29299-00150-00-1,,155,0,
44686-29299-00150-00-1,,98,0,
44601-19299-00150-00-1,,145,0,
44701-29299-00150-00-1,,211,0,
44703-19299-00150-00-1,,105,0,
44052-29299-00150-00-1,,83,0,
44019-29299-00150-00-1,,73,0,
44026-19299-00150-00-1,,156,0,
44659-29299-00597-00-1,,775,0,
44659-29299-00598-00-1,,388,0,
44659-29299-00599-00-1,,77,0,
44659-29299-00600-00-1,,257,0,
44707-29299-00151-00-1,,447,0,
44638-29299-00151-00-1,,123,0,
44241-19299-00151-00-1,,126,0,
44660-29299-00451-00-1,,519,0,
44702-29299-00151-00-1,,530,0,
44660-29299-00452-00-1,,333,0,
44660-29299-00453-00-1,,1316,0,
44719-19299-00151-00-1,,103,0,
44923-29299-00151-00-1,,231,0,
45006-19299-00151-00-1,,179,0,
45001-19299-00151-00-1,,131,0,
44623-29299-00152-00-1,,248,0,
44713-29299-00151-00-1,,155,0,
44686-29299-00151-00-1,,98,0,
44601-19299-00151-00-1,,145,0,
44701-29299-00151-00-1,,211,0,
44703-19299-00151-00-1,,105,0,
44052-29299-00151-00-1,,83,0,
44019-29299-00151-00-1,,73,0,
44026-19299-00151-00-1,,156,0,
44659-29299-00601-00-1,,775,0,
44659-29299-00602-00-1,,388,0,
44659-29299-00603-00-1,,77,0,
44659-29299-00604-00-1,,257,0,
44707-29299-00698-00-1,,447,0,
44638-29299-00698-00-1,,125,0,
44241-19299-00698-00-1,,126,0,
44660-29299-02092-00-1,,600,0,
44702-29299-00698-00-1,,532,0,
44660-29299-02093-00-1,,2000,0,
44660-29299-02094-00-1,,0,0,
44719-19299-00698-00-1,,90,0,
44923-29299-00698-00-1,,231,0,
45006-19299-00698-00-1,,179,0,
45001-19299-00698-00-1,,131,0,
44623-29299-00699-00-1,,248,0,
44713-29299-00698-00-1,,155,0,
44686-29299-00698-00-1,,98,0,
44601-19299-00697-00-1,,145,0,
44701-29299-00697-00-1,,211,0,
44703-19299-00697-00-1,,105,0,
44052-29299-00697-00-1,,83,0,
44019-29299-00697-00-1,,73,0,
44026-19299-00697-00-1,,100,0,
44659-29299-02785-00-1,,0,0,
44659-29299-02786-00-1,,0,0,
44659-29299-02787-00-1,,0,0,
44659-29299-02788-00-1,,0,0,
44707-29299-00152-00-1,,447,0,
44638-29299-00152-00-1,,123,0,
44241-19299-00152-00-1,,126,0,
44660-29299-00454-00-1,,519,0,
44702-29299-00152-00-1,,530,0,
44660-29299-00455-00-1,,333,0,
44660-29299-00456-00-1,,1316,0,
44719-19299-00152-00-1,,103,0,
44923-29299-00152-00-1,,231,0,
45006-19299-00152-00-1,,179,0,
45001-19299-00152-00-1,,131,0,
44623-29299-00153-00-1,,248,0,
44713-29299-00152-00-1,,155,0,
44686-29299-00152-00-1,,98,0,
44601-19299-00152-00-1,,145,0,
44701-29299-00152-00-1,,211,0,
44703-19299-00152-00-1,,105,0,
44052-29299-00152-00-1,,83,0,
44019-29299-00152-00-1,,73,0,
44026-19299-00152-00-1,,156,0,
44659-29299-00605-00-1,,775,0,
44659-29299-00606-00-1,,388,0,
44659-29299-00607-00-1,,77,0,
44659-29299-00608-00-1,,257,0,
44707-29299-00153-00-1,,447,0,
44638-29299-00153-00-1,,123,0,
44241-19299-00153-00-1,,126,0,
44660-29299-00457-00-1,,519,0,
44702-29299-00153-00-1,,530,0,
44660-29299-00458-00-1,,333,0,
44660-29299-00459-00-1,,1316,0,
44719-19299-00153-00-1,,103,0,
44923-29299-00153-00-1,,231,0,
45006-19299-00153-00-1,,179,0,
45001-19299-00153-00-1,,131,0,
44623-29299-00154-00-1,,248,0,
44713-29299-00153-00-1,,155,0,
44686-29299-00153-00-1,,98,0,
44601-19299-00153-00-1,,145,0,
44701-29299-00153-00-1,,211,0,
44703-19299-00153-00-1,,105,0,
44052-29299-00153-00-1,,83,0,
44019-29299-00153-00-1,,73,0,
44026-19299-00153-00-1,,156,0,
44659-29299-00609-00-1,,775,0,
44659-29299-00610-00-1,,388,0,
44659-29299-00611-00-1,,77,0,
44659-29299-00612-00-1,,257,0,
44707-29299-00154-00-1,,447,0,
44638-29299-00154-00-1,,123,0,
44241-19299-00154-00-1,,126,0,
44660-29299-00460-00-1,,519,0,
44702-29299-00154-00-1,,530,0,
44660-29299-00461-00-1,,333,0,
44660-29299-00462-00-1,,1316,0,
44719-19299-00154-00-1,,103,0,
44923-29299-00154-00-1,,231,0,
45006-19299-00154-00-1,,179,0,
45001-19299-00154-00-1,,131,0,
44623-29299-00155-00-1,,248,0,
44713-29299-00154-00-1,,155,0,
44686-29299-00154-00-1,,98,0,
44601-19299-00154-00-1,,145,0,
44701-29299-00154-00-1,,211,0,
44703-19299-00154-00-1,,105,0,
44052-29299-00154-00-1,,83,0,
44019-29299-00154-00-1,,73,0,
44026-19299-00154-00-1,,156,0,
44659-29299-00613-00-1,,775,0,
44659-29299-00614-00-1,,388,0,
44659-29299-00615-00-1,,77,0,
44659-29299-00616-00-1,,257,0,
44707-29299-00155-00-1,,447,0,
44638-29299-00155-00-1,,123,0,
44241-19299-00155-00-1,,126,0,
44660-29299-00463-00-1,,519,0,
44702-29299-00155-00-1,,530,0,
44660-29299-00464-00-1,,333,0,
44660-29299-00465-00-1,,1316,0,
44719-19299-00155-00-1,,103,0,
44923-29299-00155-00-1,,231,0,
45006-19299-00155-00-1,,179,0,
45001-19299-00155-00-1,,131,0,
44623-29299-00156-00-1,,248,0,
44713-29299-00155-00-1,,155,0,
44686-29299-00155-00-1,,98,0,
44601-19299-00155-00-1,,145,0,
44701-29299-00155-00-1,,211,0,
44703-19299-00155-00-1,,105,0,
44052-29299-00155-00-1,,83,0,
44019-29299-00155-00-1,,73,0,
44026-19299-00155-00-1,,156,0,
44659-29299-00617-00-1,,775,0,
44659-29299-00618-00-1,,388,0,
44659-29299-00619-00-1,,77,0,
44659-29299-00620-00-1,,257,0,
44707-29299-00156-00-1,,447,0,
44638-29299-00156-00-1,,123,0,
44241-19299-00156-00-1,,126,0,
44660-29299-00466-00-1,,519,0,
44702-29299-00156-00-1,,530,0,
44660-29299-00467-00-1,,333,0,
44660-29299-00468-00-1,,1316,0,
44719-19299-00156-00-1,,103,0,
44923-29299-00156-00-1,,231,0,
45006-19299-00156-00-1,,179,0,
45001-19299-00156-00-1,,131,0,
44623-29299-00157-00-1,,248,0,
44713-29299-00156-00-1,,155,0,
44686-29299-00156-00-1,,98,0,
44601-19299-00156-00-1,,145,0,
44701-29299-00156-00-1,,211,0,
44703-19299-00156-00-1,,105,0,
44052-29299-00156-00-1,,83,0,
44019-29299-00156-00-1,,73,0,
44026-19299-00156-00-1,,156,0,
44659-29299-00621-00-1,,775,0,
44659-29299-00622-00-1,,388,0,
44659-29299-00623-00-1,,77,0,
44659-29299-00624-00-1,,257,0,
44707-29299-00157-00-1,,447,0,
44638-29299-00157-00-1,,123,0,
44241-19299-00157-00-1,,126,0,
44660-29299-00469-00-1,,519,0,
44702-29299-00157-00-1,,530,0,
44660-29299-00470-00-1,,333,0,
44660-29299-00471-00-1,,1316,0,
44719-19299-00157-00-1,,103,0,
44923-29299-00157-00-1,,231,0,
45006-19299-00157-00-1,,179,0,
45001-19299-00157-00-1,,131,0,
44623-29299-00158-00-1,,248,0,
44713-29299-00157-00-1,,155,0,
44686-29299-00157-00-1,,98,0,
44601-19299-00157-00-1,,145,0,
44701-29299-00157-00-1,,211,0,
44703-19299-00157-00-1,,105,0,
44052-29299-00157-00-1,,83,0,
44019-29299-00157-00-1,,73,0,
44026-19299-00157-00-1,,156,0,
44659-29299-00625-00-1,,775,0,
44659-29299-00626-00-1,,388,0,
44659-29299-00627-00-1,,77,0,
44659-29299-00628-00-1,,257,0,
44707-29299-00699-00-1,,447,0,
44638-29299-00699-00-1,,125,0,
44241-19299-00699-00-1,,126,0,
44660-29299-02095-00-1,,600,0,
44702-29299-00699-00-1,,532,0,
44660-29299-02096-00-1,,2000,0,
44660-29299-02097-00-1,,0,0,
44719-19299-00699-00-1,,90,0,
44923-29299-00699-00-1,,231,0,
45006-19299-00699-00-1,,179,0,
45001-19299-00699-00-1,,131,0,
44623-29299-00700-00-1,,248,0,
44713-29299-00699-00-1,,155,0,
44686-29299-00699-00-1,,98,0,
44601-19299-00698-00-1,,145,0,
44701-29299-00698-00-1,,211,0,
44703-19299-00698-00-1,,105,0,
44052-29299-00698-00-1,,83,0,
44019-29299-00698-00-1,,73,0,
44026-19299-00698-00-1,,100,0,
44659-29299-02789-00-1,,0,0,
44659-29299-02790-00-1,,0,0,
44659-29299-02791-00-1,,0,0,
44659-29299-02792-00-1,,0,0,
44707-29299-00158-00-1,,447,0,
44638-29299-00158-00-1,,123,0,
44241-19299-00158-00-1,,126,0,
44660-29299-00472-00-1,,519,0,
44702-29299-00158-00-1,,530,0,
44660-29299-00473-00-1,,333,0,
44660-29299-00474-00-1,,1316,0,
44719-19299-00158-00-1,,103,0,
44923-29299-00158-00-1,,231,0,
45006-19299-00158-00-1,,179,0,
45001-19299-00158-00-1,,131,0,
44623-29299-00159-00-1,,248,0,
44713-29299-00158-00-1,,155,0,
44686-29299-00158-00-1,,98,0,
44601-19299-00158-00-1,,145,0,
44701-29299-00158-00-1,,211,0,
44703-19299-00158-00-1,,105,0,
44052-29299-00158-00-1,,83,0,
44019-29299-00158-00-1,,73,0,
44026-19299-00158-00-1,,156,0,
44659-29299-00629-00-1,,775,0,
44659-29299-00630-00-1,,388,0,
44659-29299-00631-00-1,,77,0,
44659-29299-00632-00-1,,257,0,
44707-29299-00159-00-1,,447,0,
44638-29299-00159-00-1,,123,0,
44241-19299-00159-00-1,,126,0,
44660-29299-00475-00-1,,519,0,
44702-29299-00159-00-1,,530,0,
44660-29299-00476-00-1,,333,0,
44660-29299-00477-00-1,,1316,0,
44719-19299-00159-00-1,,103,0,
44923-29299-00159-00-1,,231,0,
45006-19299-00159-00-1,,179,0,
45001-19299-00159-00-1,,131,0,
44623-29299-00160-00-1,,248,0,
44713-29299-00159-00-1,,155,0,
44686-29299-00159-00-1,,98,0,
44601-19299-00159-00-1,,145,0,
44701-29299-00159-00-1,,211,0,
44703-19299-00159-00-1,,105,0,
44052-29299-00159-00-1,,83,0,
44019-29299-00159-00-1,,73,0,
44026-19299-00159-00-1,,156,0,
44659-29299-00633-00-1,,775,0,
44659-29299-00634-00-1,,388,0,
44659-29299-00635-00-1,,77,0,
44659-29299-00636-00-1,,257,0,
44707-29299-00160-00-1,,447,0,
44638-29299-00160-00-1,,123,0,
44241-19299-00160-00-1,,126,0,
44660-29299-00478-00-1,,519,0,
44702-29299-00160-00-1,,530,0,
44660-29299-00479-00-1,,333,0,
44660-29299-00480-00-1,,1316,0,
44719-19299-00160-00-1,,103,0,
44923-29299-00160-00-1,,231,0,
45006-19299-00160-00-1,,179,0,
45001-19299-00160-00-1,,131,0,
44623-29299-00161-00-1,,248,0,
44713-29299-00160-00-1,,155,0,
44686-29299-00160-00-1,,98,0,
44601-19299-00160-00-1,,145,0,
44701-29299-00160-00-1,,211,0,
44703-19299-00160-00-1,,105,0,
44052-29299-00160-00-1,,83,0,
44019-29299-00160-00-1,,73,0,
44026-19299-00160-00-1,,156,0,
44659-29299-00637-00-1,,775,0,
44659-29299-00638-00-1,,388,0,
44659-29299-00639-00-1,,77,0,
44659-29299-00640-00-1,,257,0,
44707-29299-00161-00-1,,447,0,
44638-29299-00161-00-1,,123,0,
44241-19299-00161-00-1,,126,0,
44660-29299-00481-00-1,,519,0,
44702-29299-00161-00-1,,530,0,
44660-29299-00482-00-1,,333,0,
44660-29299-00483-00-1,,1316,0,
44719-19299-00161-00-1,,103,0,
44923-29299-00161-00-1,,231,0,
45006-19299-00161-00-1,,179,0,
45001-19299-00161-00-1,,131,0,
44623-29299-00162-00-1,,248,0,
44713-29299-00161-00-1,,155,0,
44686-29299-00161-00-1,,98,0,
44601-19299-00161-00-1,,145,0,
44701-29299-00161-00-1,,211,0,
44703-19299-00161-00-1,,105,0,
44052-29299-00161-00-1,,83,0,
44019-29299-00161-00-1,,73,0,
44026-19299-00161-00-1,,156,0,
44659-29299-00641-00-1,,775,0,
44659-29299-00642-00-1,,388,0,
44659-29299-00643-00-1,,77,0,
44659-29299-00644-00-1,,257,0,
44707-29299-00162-00-1,,447,0,
44638-29299-00162-00-1,,123,0,
44241-19299-00162-00-1,,126,0,
44660-29299-00484-00-1,,519,0,
44702-29299-00162-00-1,,530,0,
44660-29299-00485-00-1,,333,0,
44660-29299-00486-00-1,,1316,0,
44719-19299-00162-00-1,,103,0,
44923-29299-00162-00-1,,231,0,
45006-19299-00162-00-1,,179,0,
45001-19299-00162-00-1,,131,0,
44623-29299-00163-00-1,,248,0,
44713-29299-00162-00-1,,155,0,
44686-29299-00162-00-1,,98,0,
44601-19299-00162-00-1,,145,0,
44701-29299-00162-00-1,,211,0,
44703-19299-00162-00-1,,105,0,
44052-29299-00162-00-1,,83,0,
44019-29299-00162-00-1,,73,0,
44026-19299-00162-00-1,,156,0,
44659-29299-00645-00-1,,775,0,
44659-29299-00646-00-1,,388,0,
44659-29299-00647-00-1,,77,0,
44659-29299-00648-00-1,,257,0,
44707-29299-00163-00-1,,447,0,
44638-29299-00163-00-1,,123,0,
44241-19299-00163-00-1,,126,0,
44660-29299-00487-00-1,,519,0,
44702-29299-00163-00-1,,530,0,
44660-29299-00488-00-1,,333,0,
44660-29299-00489-00-1,,1316,0,
44719-19299-00163-00-1,,103,0,
44923-29299-00163-00-1,,231,0,
45006-19299-00163-00-1,,179,0,
45001-19299-00163-00-1,,131,0,
44623-29299-00164-00-1,,248,0,
44713-29299-00163-00-1,,155,0,
44686-29299-00163-00-1,,98,0,
44601-19299-00163-00-1,,145,0,
44701-29299-00163-00-1,,211,0,
44703-19299-00163-00-1,,105,0,
44052-29299-00163-00-1,,83,0,
44019-29299-00163-00-1,,73,0,
44026-19299-00163-00-1,,156,0,
44659-29299-00649-00-1,,775,0,
44659-29299-00650-00-1,,388,0,
44659-29299-00651-00-1,,77,0,
44659-29299-00652-00-1,,257,0,
44707-29299-00700-00-1,,447,0,
44638-29299-00700-00-1,,125,0,
44241-19299-00700-00-1,,126,0,
44660-29299-02098-00-1,,600,0,
44702-29299-00700-00-1,,532,0,
44660-29299-02099-00-1,,2000,0,
44660-29299-02100-00-1,,0,0,
44719-19299-00700-00-1,,90,0,
44923-29299-00700-00-1,,231,0,
45006-19299-00700-00-1,,179,0,
45001-19299-00700-00-1,,131,0,
44623-29299-00701-00-1,,248,0,
44713-29299-00700-00-1,,155,0,
44686-29299-00700-00-1,,98,0,
44601-19299-00699-00-1,,145,0,
44701-29299-00699-00-1,,211,0,
44703-19299-00699-00-1,,105,0,
44052-29299-00699-00-1,,83,0,
44019-29299-00699-00-1,,73,0,
44026-19299-00699-00-1,,100,0,
44659-29299-02793-00-1,,0,0,
44659-29299-02794-00-1,,0,0,
44659-29299-02795-00-1,,0,0,
44659-29299-02796-00-1,,0,0,
44707-29299-00164-00-1,,447,0,
44638-29299-00164-00-1,,123,0,
44241-19299-00164-00-1,,126,0,
44660-29299-00490-00-1,,519,0,
44702-29299-00164-00-1,,530,0,
44660-29299-00491-00-1,,333,0,
44660-29299-00492-00-1,,1316,0,
44719-19299-00164-00-1,,103,0,
44923-29299-00164-00-1,,231,0,
45006-19299-00164-00-1,,179,0,
45001-19299-00164-00-1,,131,0,
44623-29299-00165-00-1,,248,0,
44713-29299-00164-00-1,,155,0,
44686-29299-00164-00-1,,98,0,
44601-19299-00164-00-1,,145,0,
44701-29299-00164-00-1,,211,0,
44703-19299-00164-00-1,,105,0,
44052-29299-00164-00-1,,83,0,
44019-29299-00164-00-1,,73,0,
44026-19299-00164-00-1,,156,0,
44659-29299-00653-00-1,,775,0,
44659-29299-00654-00-1,,388,0,
44659-29299-00655-00-1,,77,0,
44659-29299-00656-00-1,,257,0,
44707-29299-00165-00-1,,447,0,
44638-29299-00165-00-1,,123,0,
44241-19299-00165-00-1,,126,0,
44660-29299-00493-00-1,,519,0,
44702-29299-00165-00-1,,530,0,
44660-29299-00494-00-1,,333,0,
44660-29299-00495-00-1,,1316,0,
44719-19299-00165-00-1,,103,0,
44923-29299-00165-00-1,,231,0,
45006-19299-00165-00-1,,179,0,
45001-19299-00165-00-1,,131,0,
44623-29299-00166-00-1,,248,0,
44713-29299-00165-00-1,,155,0,
44686-29299-00165-00-1,,98,0,
44601-19299-00165-00-1,,145,0,
44701-29299-00165-00-1,,211,0,
44703-19299-00165-00-1,,105,0,
44052-29299-00165-00-1,,83,0,
44019-29299-00165-00-1,,73,0,
44026-19299-00165-00-1,,156,0,
44659-29299-00657-00-1,,775,0,
44659-29299-00658-00-1,,388,0,
44659-29299-00659-00-1,,77,0,
44659-29299-00660-00-1,,257,0,
44707-29299-00166-00-1,,447,0,
44638-29299-00166-00-1,,123,0,
44241-19299-00166-00-1,,126,0,
44660-29299-00496-00-1,,519,0,
44702-29299-00166-00-1,,530,0,
44660-29299-00497-00-1,,333,0,
44660-29299-00498-00-1,,1316,0,
44719-19299-00166-00-1,,103,0,
44923-29299-00166-00-1,,231,0,
45006-19299-00166-00-1,,179,0,
45001-19299-00166-00-1,,131,0,
44623-29299-00167-00-1,,248,0,
44713-29299-00166-00-1,,155,0,
44686-29299-00166-00-1,,98,0,
44601-19299-00166-00-1,,145,0,
44701-29299-00166-00-1,,211,0,
44703-19299-00166-00-1,,105,0,
44052-29299-00166-00-1,,83,0,
44019-29299-00166-00-1,,73,0,
44026-19299-00166-00-1,,156,0,
44659-29299-00661-00-1,,775,0,
44659-29299-00662-00-1,,388,0,
44659-29299-00663-00-1,,77,0,
44659-29299-00664-00-1,,257,0,
44707-29299-00167-00-1,,447,0,
44638-29299-00167-00-1,,123,0,
44241-19299-00167-00-1,,126,0,
44660-29299-00499-00-1,,519,0,
44702-29299-00167-00-1,,530,0,
44660-29299-00500-00-1,,333,0,
44660-29299-00501-00-1,,1316,0,
44719-19299-00167-00-1,,103,0,
44923-29299-00167-00-1,,231,0,
45006-19299-00167-00-1,,179,0,
45001-19299-00167-00-1,,131,0,
44623-29299-00168-00-1,,248,0,
44713-29299-00167-00-1,,155,0,
44686-29299-00167-00-1,,98,0,
44601-19299-00167-00-1,,145,0,
44701-29299-00167-00-1,,211,0,
44703-19299-00167-00-1,,105,0,
44052-29299-00167-00-1,,83,0,
44019-29299-00167-00-1,,73,0,
44026-19299-00167-00-1,,156,0,
44659-29299-00665-00-1,,775,0,
44659-29299-00666-00-1,,388,0,
44659-29299-00667-00-1,,77,0,
44659-29299-00668-00-1,,257,0,
44707-29299-00168-00-1,,447,0,
44638-29299-00168-00-1,,123,0,
44241-19299-00168-00-1,,126,0,
44660-29299-00502-00-1,,519,0,
44702-29299-00168-00-1,,530,0,
44660-29299-00503-00-1,,333,0,
44660-29299-00504-00-1,,1316,0,
44719-19299-00168-00-1,,103,0,
44923-29299-00168-00-1,,231,0,
45006-19299-00168-00-1,,179,0,
45001-19299-00168-00-1,,131,0,
44623-29299-00169-00-1,,248,0,
44713-29299-00168-00-1,,155,0,
44686-29299-00168-00-1,,98,0,
44601-19299-00168-00-1,,145,0,
44701-29299-00168-00-1,,211,0,
44703-19299-00168-00-1,,105,0,
44052-29299-00168-00-1,,83,0,
44019-29299-00168-00-1,,73,0,
44026-19299-00168-00-1,,156,0,
44659-29299-00669-00-1,,775,0,
44659-29299-00670-00-1,,388,0,
44659-29299-00671-00-1,,77,0,
44659-29299-00672-00-1,,257,0,
44707-29299-00169-00-1,,447,0,
44638-29299-00169-00-1,,123,0,
44241-19299-00169-00-1,,126,0,
44660-29299-00505-00-1,,519,0,
44702-29299-00169-00-1,,530,0,
44660-29299-00506-00-1,,333,0,
44660-29299-00507-00-1,,1316,0,
44719-19299-00169-00-1,,103,0,
44923-29299-00169-00-1,,231,0,
45006-19299-00169-00-1,,179,0,
45001-19299-00169-00-1,,131,0,
44623-29299-00170-00-1,,248,0,
44713-29299-00169-00-1,,155,0,
44686-29299-00169-00-1,,98,0,
44601-19299-00169-00-1,,145,0,
44701-29299-00169-00-1,,211,0,
44703-19299-00169-00-1,,105,0,
44052-29299-00169-00-1,,83,0,
44019-29299-00169-00-1,,73,0,
44026-19299-00169-00-1,,156,0,
44659-29299-00673-00-1,,775,0,
44659-29299-00674-00-1,,388,0,
44659-29299-00675-00-1,,77,0,
44659-29299-00676-00-1,,257,0,
44707-29299-00170-00-1,,447,0,
44638-29299-00170-00-1,,123,0,
44241-19299-00170-00-1,,126,0,
44660-29299-00508-00-1,,519,0,
44702-29299-00170-00-1,,530,0,
44660-29299-00509-00-1,,333,0,
44660-29299-00510-00-1,,1316,0,
44719-19299-00170-00-1,,103,0,
44923-29299-00170-00-1,,231,0,
45006-19299-00170-00-1,,179,0,
45001-19299-00170-00-1,,131,0,
44623-29299-00171-00-1,,248,0,
44713-29299-00170-00-1,,155,0,
44686-29299-00170-00-1,,98,0,
44601-19299-00170-00-1,,145,0,
44701-29299-00170-00-1,,211,0,
44703-19299-00170-00-1,,105,0,
44052-29299-00170-00-1,,83,0,
44019-29299-00170-00-1,,73,0,
44026-19299-00170-00-1,,156,0,
44659-29299-00677-00-1,,775,0,
44659-29299-00678-00-1,,388,0,
44659-29299-00679-00-1,,77,0,
44659-29299-00680-00-1,,257,0,
44707-29299-00171-00-1,,447,0,
44638-29299-00171-00-1,,123,0,
44241-19299-00171-00-1,,126,0,
44660-29299-00511-00-1,,519,0,
44702-29299-00171-00-1,,530,0,
44660-29299-00512-00-1,,333,0,
44660-29299-00513-00-1,,1316,0,
44719-19299-00171-00-1,,103,0,
44923-29299-00171-00-1,,231,0,
45006-19299-00171-00-1,,179,0,
45001-19299-00171-00-1,,131,0,
44623-29299-00172-00-1,,248,0,
44713-29299-00171-00-1,,155,0,
44686-29299-00171-00-1,,98,0,
44601-19299-00171-00-1,,145,0,
44701-29299-00171-00-1,,211,0,
44703-19299-00171-00-1,,105,0,
44052-29299-00171-00-1,,83,0,
44019-29299-00171-00-1,,73,0,
44026-19299-00171-00-1,,156,0,
44659-29299-00681-00-1,,775,0,
44659-29299-00682-00-1,,388,0,
44659-29299-00683-00-1,,77,0,
44659-29299-00684-00-1,,257,0,
44707-29299-00172-00-1,,447,0,
44638-29299-00172-00-1,,123,0,
44241-19299-00172-00-1,,126,0,
44660-29299-00514-00-1,,519,0,
44702-29299-00172-00-1,,530,0,
44660-29299-00515-00-1,,333,0,
44660-29299-00516-00-1,,1316,0,
44719-19299-00172-00-1,,103,0,
44923-29299-00172-00-1,,231,0,
45006-19299-00172-00-1,,179,0,
45001-19299-00172-00-1,,131,0,
44623-29299-00173-00-1,,248,0,
44713-29299-00172-00-1,,155,0,
44686-29299-00172-00-1,,98,0,
44601-19299-00172-00-1,,145,0,
44701-29299-00172-00-1,,211,0,
44703-19299-00172-00-1,,105,0,
44052-29299-00172-00-1,,83,0,
44019-29299-00172-00-1,,73,0,
44026-19299-00172-00-1,,156,0,
44659-29299-00685-00-1,,775,0,
44659-29299-00686-00-1,,388,0,
44659-29299-00687-00-1,,77,0,
44659-29299-00688-00-1,,257,0,
44707-29299-00701-00-1,,447,0,
44638-29299-00701-00-1,,125,0,
44241-19299-00701-00-1,,126,0,
44660-29299-02101-00-1,,600,0,
44702-29299-00701-00-1,,532,0,
44660-29299-02102-00-1,,2000,0,
44660-29299-02103-00-1,,0,0,
44719-19299-00701-00-1,,90,0,
44923-29299-00701-00-1,,231,0,
45006-19299-00701-00-1,,179,0,
45001-19299-00701-00-1,,131,0,
44623-29299-00702-00-1,,248,0,
44713-29299-00701-00-1,,155,0,
44686-29299-00701-00-1,,98,0,
44601-19299-00700-00-1,,145,0,
