주차장관리번호,"주차혼잡상태",총주차구획수,총잔여주차구획수,주차예약가능단위구획수
16482-99999-00056-00-1,3,337,0,0
16668-99999-00064-00-1,0,271,241,0
16441-99999-00029-00-1,0,159,105,0
16435-99999-00029-00-1,3,290,0,0
16357-99999-00232-00-1,2,160,33,0
16425-99999-00045-00-1,3,162,0,0
16659-99999-00024-00-1,3,136,2,0
16357-99999-00231-00-1,3,191,12,0
16463-99999-00057-00-1,3,246,15,0
16484-99999-00030-00-1,2,56,8,0
16704-99999-00022-00-1,3,305,0,0
16362-99999-00139-00-1,2,72,17,0
18141-99999-00107-00-1,1,170,79,0
16363-99999-00006-00-1,1,46,20,0
16290-99999-00007-00-1,0,359,359,0
18118-99999-00166-00-1,1,100,31,0
16585-99999-00006-00-1,0,51,30,0
18132-99999-00008-00-1,2,500,59,0
16269-99999-00137-00-1,0,182,112,0
18130-99999-00071-00-1,2,216,32,0
16269-99999-00136-00-1,2,30,4,0
16475-99999-00002-00-1,0,80,57,0
18137-99999-00078-00-1,3,134,2,0
16302-99999-00012-00-1,0,104,61,0
18135-99999-00118-00-1,2,98,12,0
16333-99999-00008-00-1,3,56,0,0
18135-99999-00119-00-1,1,180,74,0
16564-99999-00094-00-1,2,66,13,0
18139-99999-00035-00-1,1,593,186,0
16527-99999-00020-00-1,2,200,25,0
18116-99999-00084-00-1,0,111,97,0
16236-99999-00044-00-1,1,119,42,0
18137-99999-00077-00-1,0,46,31,0
16538-99999-00006-00-1,2,222,66,0
16268-99999-00098-00-1,0,497,403,0
16514-99999-00018-00-1,0,396,317,0
16232-99999-00058-00-1,2,87,11,0
16514-99999-00019-00-1,1,229,86,0
16511-99999-00010-00-1,2,245,53,0
12055-99999-00016-00-1,3,60,0,0
16506-99999-00111-00-1,0,64,53,0
18141-99999-00106-00-1,3,38,0,0
16500-99999-00079-00-1,0,46,46,0
18131-99999-00015-00-1,1,198,93,0
16226-99999-00161-00-1,1,35,14,0
16226-99999-00162-00-1,2,49,13,0
18131-99999-00016-00-1,1,144,48,0
16252-99999-00036-00-1,2,138,28,0
18112-99999-00297-00-1,0,115,92,0
16302-99999-00008-00-1,2,76,10,0
18122-99999-00223-00-1,0,230,180,0
16302-99999-00009-00-1,3,61,0,0
18143-99999-00038-00-1,3,30,0,0
16302-99999-00010-00-1,1,50,15,0
18106-99999-00098-00-1,1,63,22,0
16302-99999-00011-00-1,3,43,1,0
96003-12211-00001-00-1,0,82,82,0
44623-29299-00670-00-1,,248,0,
44713-29299-00669-00-1,,155,0,
44686-29299-00669-00-1,,98,0,
07719-29391-00045-00-1,,500,500,0
04604-29391-00028-00-1,,79,0,0
04602-29391-00020-00-1,,75,26,0
07419-29391-00027-00-1,,151,69,0
07296-11291-00001-00-1,,41,0,0
04601-29391-00022-00-1,,93,10,0
07726-29391-00001-00-1,,231,0,0
04602-29391-00049-00-1,,44,7,0
07388-11291-00001-00-1,,23,0,0
16220-29392-00060-00-1,,5,3,0
07285-11191-00001-00-1,,52,47,0
06577-29391-00029-00-1,,43,43,0
01149-29391-00043-00-1,,187,145,0
05682-11291-00001-00-1,,61,6,0
07362-29391-00017-00-1,,130,3,0
05572-11291-00001-00-1,,113,5,0
17520-29391-00124-00-1,,76,21,0
07307-11291-00001-00-1,,194,66,0
32841-29391-00034-00-1,,150,150,0
04602-29391-00002-00-1,,97,5,0
04528-11191-00002-00-1,,9,6,0
04563-11191-00001-00-1,,5,4,0
04630-29391-00001-00-1,,21,12,0
44707-29299-00001-00-1,,447,0,
44638-29299-00001-00-1,,123,0,
44241-19299-00001-00-1,,126,0,
44660-29299-00001-00-1,,519,0,
44702-29299-00001-00-1,,530,0,
44660-29299-00002-00-1,,333,0,
44660-29299-00003-00-1,,1316,0,
44719-19299-00001-00-1,,103,0,
44923-29299-00001-00-1,,231,0,
45006-19299-00001-00-1,,179,0,
45001-19299-00001-00-1,,131,0,
44623-29299-00002-00-1,,248,0,
44713-29299-00001-00-1,,155,0,
44686-29299-00001-00-1,,98,0,
44601-19299-00001-00-1,,145,0,
44701-29299-00001-00-1,,211,0,
44703-19299-00001-00-1,,105,0,
44052-29299-00001-00-1,,83,0,
44019-29299-00001-00-1,,73,0,
44026-19299-00001-00-1,,156,0,
44659-29299-00001-00-1,,775,0,
44659-29299-00002-00-1,,388,0,
44659-29299-00003-00-1,,77,0,
44659-29299-00004-00-1,,257,0,
44707-29299-00667-00-1,,447,0,
44638-29299-00667-00-1,,125,0,
44241-19299-00667-00-1,,126,0,
44660-29299-01999-00-1,,600,0,
44702-29299-00667-00-1,,532,0,
44660-29299-02000-00-1,,2000,0,
44660-29299-02001-00-1,,0,0,
44719-19299-00667-00-1,,90,0,
44923-29299-00667-00-1,,231,0,
45006-19299-00667-00-1,,179,0,
45001-19299-00667-00-1,,131,0,
44623-29299-00668-00-1,,248,0,
44713-29299-00667-00-1,,155,0,
44686-29299-00667-00-1,,98,0,
44601-19299-00666-00-1,,145,0,
44701-29299-00666-00-1,,211,0,
44703-19299-00666-00-1,,105,0,
44052-29299-00666-00-1,,83,0,
44019-29299-00666-00-1,,73,0,
44026-19299-00666-00-1,,100,0,
44659-29299-02661-00-1,,0,0,
44659-29299-02662-00-1,,0,0,
44659-29299-02663-00-1,,0,0,
44659-29299-02664-00-1,,0,0,
