건물명,도로명주소,지번주소,종류,대수,최종검사일자,검사결과,관리인배치여부,기타
 ,서울특별시 도봉구 노해로60길 3-13 (쌍문동 88-8) ,서울특별시 도봉구 쌍문동 88-8,2단식,3,2017-09-29,적,무,건물명미정
 ,충청북도 진천군 덕산면 초금로 756-13,충청북도 진천군 덕산면 용몽리 594-46,다단식,3,2017-11-29,부,무,건물명미정
 ,부산광역시 부산진구 동평로420번길 20-1 (양정동 391-5) ,부산광역시 부산진구 양정동 391-5,다단식,3,2017-12-28,적,무,건물명미정
 ,서울특별시 마포구 마포대로 182 (공덕동 105-158) ,서울특별시 마포구 공덕동 105-158,다단식,3,2019-11-28,적,무,건물명미정
 ,서울특별시 마포구 도화길 42-1 (도화동 182-7) ,서울특별시 마포구 도화동 182-7,다단식,3,2019-12-19,적,무,건물명미정
 ,울산광역시 남구 번영로124번길 21-1 (달동),울산광역시 남구 달동 1250-9,2단식,3,2020-01-08,적,무,건물명미정
 ,강원도 춘천시 방송길 104 (온의동 589-2) ,강원도 춘천시 온의동 589-2,2단식,3,2020-03-05,적,무,건물명미정
 ,충청남도 천안시 서북구 봉서8길 10(쌍용동),충청남도 천안시 서북구 쌍용동 789,다단식,3,2020-03-17,적,무,건물명미정
 ,인천광역시 중구 운서동 2927-3,인천광역시 중구 운서동 2927-3,다단식,3,2020-03-24,적,무,건물명미정
 ,경상남도 거제시 장평로 20 (장평동 31-10) ,경상남도 거제시 장평동 31-10,다단식,3,2020-07-07,적,무,건물명미정
 ,경상남도 거제시 장평로 22 (장평동 31-11) ,경상남도 거제시 장평동 31-11,다단식,3,2020-07-07,적,무,건물명미정
 ,부산광역시 금정구 부곡로 133-11 (부곡동 296-91) ,부산광역시 금정구 부곡동 296-91,2단식,3,2020-07-24,적,무,건물명미정
 ,서울특별시 강남구 테헤란로87길 9 (삼성동),서울특별시 강남구 삼성동 158-13,2단식,3,2020-09-07,적,무,건물명미정
 ,충청남도 천안시 동남구 성정로 25 (봉명동 376-1),충청남도 천안시 동남구 봉명동 376-1,다단식,3,2020-09-07,적,무,건물명미정
 ,부산광역시 남구 수영로 317 (대연동 73-45) ,부산광역시 남구 대연동 73-45,2단식,3,2020-10-07,적,무,건물명미정
 ,인천광역시 부평구 부평동 433-207 (도로명미지정),인천광역시 부평구 부평동 433-207,2단식,3,2020-11-20,적,무,건물명미정
 ,서울특별시 영등포구 디지털로 359-1,서울특별시 영등포구 대림동 1079-41,다단식,3,2020-11-25,적,무,건물명미정
 ,서울특별시 마포구 홍익로 18 (서교동 345-9) ,서울특별시 마포구 서교동 345-9,다단식,3,2021-01-15,적,무,건물명미정
 ,서울특별시 영등포구 신길로16길 9-3 (신길동 4600) ,서울특별시 영등포구 신길동 4600,다단식,3,2021-04-05,부,무,건물명미정
 ,인천광역시 중구 넙디로 52 (운서동 2925-3) ,인천광역시 중구 운서동 2925-3,다단식,3,2021-04-07,적,무,건물명미정
 ,대구광역시 남구 대명동 3036-17,대구광역시 남구 대명동 3036-17,2단식,3,2021-04-12,적,무,건물명미정
 ,충청남도 천안시 동남구 통정11로 46(신방동),충청남도 천안시 동남구 신방동 1533,다단식,3,2021-04-19,적,무,건물명미정
 ,인천광역시 부평구 창휘로 19-7 (십정동 181-128) ,인천광역시 부평구 십정동 181-128 외1필지,다단식,3,2021-06-08,적,무,건물명미정
 ,서울특별시 영등포구 도림로41길 11-11 (대림동 713-2) ,서울특별시 영등포구 대림동 713-2,다단식,3,2021-07-01,적,무,건물명미정
 ,서울특별시 은평구 서오릉로6길 6-1 (녹번동 152-79) ,서울특별시 은평구 녹번동 152-79,다단식,3,2021-07-30,부,무,건물명미정
 ,경상남도 양산시 하북면 초산6길 11,경상남도 양산시 하북면 초산리 297-5,2단식,4,2002-01-29,적,무,건물명미정
 ,서울특별시 동작구 동작대로27가길 35 (사당동),서울특별시 동작구 사당동 145-29,다층순환식,4,2007-11-23,적,무,건물명미정
 ,충청남도 서산시 읍내1로 46 (읍내동),충청남도 서산시 읍내동 154-2,2단식,4,2010-05-03,적,무,건물명미정
 ,서울특별시 종로구 진흥로 487 (신영동),서울특별시 종로구 신영동 16,다단식,4,2013-01-15,적,무,건물명미정
 ,부산광역시 금정구 두실로7번길 41 (구서동),부산광역시 금정구 구서동 163-9,2단식,4,2013-11-29,적,무,건물명미정
 ,서울특별시 영등포구 디지털로 362 (대림동),서울특별시 영등포구 대림동 1078-6,다단식,4,2014-11-18,부,무,건물명미정
 ,강원도 춘천시 춘천로185번길 16-6 (운교동),강원도 춘천시 운교동 187-15,2단식,4,2015-06-05,부,무,건물명미정
 ,충청북도 청주시 흥덕구 풍년로 170 (가경동),충청북도 청주시 흥덕구 가경동 1405,2단식,4,2016-01-14,적,무,건물명미정
 ,강원도 속초시 중앙로 90-1 (청학동),강원도 속초시 청학동 482-77,2단식,4,2016-07-19,부,무,건물명미정
 ,충청남도 계룡시 번영1길 5-14 (엄사면 178-1),충청남도 계룡시 엄사면 엄사리 178-1,2단식,4,2016-09-24,적,무,건물명미정
 ,서울특별시 중랑구 봉우재로 156 (면목동 90-25) ,서울특별시 중랑구 면목동 90-25,2단식,4,2017-05-24,적,무,건물명미정
 ,강원도 강릉시 홍제동 1022-1,강원도 강릉시 홍제동 1022-1,2단식,4,2019-11-05,적,무,건물명미정
 ,대구광역시 북구 대현로 85 (대현동 157-3),대구광역시 북구 대현동 157-3,2단식,4,2020-04-16,적,무,건물명미정
 ,경기도 안양시 만안구 안양로 208,경기도 안양시 만안구 안양동 414-6,2단식,4,2020-06-22,적,무,건물명미정
 ,서울특별시 강동구 구천면로 506 (명일동),서울특별시 강동구 명일동 69,다단식,4,2020-07-24,적,무,건물명미정
 ,서울특별시 관악구 행운1나길 31 (봉천동 1667-12) ,서울특별시 관악구 봉천동 1667-12,다단식,4,2020-08-13,적,무,건물명미정
 ,충청북도 충주시 성남3길 11 (성남동),충청북도 충주시 성남동 142,2단식,4,2020-08-19,적,무,건물명미정
 ,서울특별시 관악구 신림동3길 12 (신림동 1432-158) ,서울특별시 관악구 신림동 1432-158,다단식,4,2020-12-11,적,무,건물명미정
 ,서울특별시 강동구 올림픽로62길 23-8 (성내동 46-19) ,서울특별시 강동구 성내동 46-19,2단식,4,2020-12-17,적,무,건물명미정
 ,인천광역시 중구 경동 225-1,인천광역시 중구 경동 225-1,2단식,4,2021-02-18,적,무,건물명미정
 ,서울특별시 강서구 양천로49길 47 (가양동 250-2) ,서울특별시 강서구 가양동 250-2,다단식,4,2021-03-24,적,무,건물명미정
 ,서울특별시 영등포구 양산로 165 (당산동3가 1-19),서울특별시 영등포구 당산동3가 1-19,다단식,4,2021-03-30,적,무,건물명미정
 ,서울특별시 금천구 가산로3길 128 (가산동 238-38) ,서울특별시 금천구 가산동 238-38,2단식,4,2021-05-26,적,무,건물명미정
 ,서울특별시 구로구 구로중앙로28길 16 (구로동),서울특별시 구로구 구로동 530-23,다단식,5,2010-06-12,적,무,건물명미정
 ,인천광역시 강화군 강화읍 강화대로 450,인천광역시 강화군 강화읍 관청리 884-5,2단식,5,2011-04-29,적,무,건물명미정
 ,서울특별시 강남구 봉은사로37길 11 (논현동),서울특별시 강남구 논현동 232-17,수직순환식,5,2011-11-30,적,무,건물명미정
 ,서울특별시 중랑구 봉화산로 21-1 (중화동),서울특별시 중랑구 중화동 311-39,다단식,5,2016-09-29,적,무,건물명미정
 ,서울특별시 영등포구 영등포로35길 26 (영등포동6가 22-1) ,서울특별시 영등포구 영등포동6가 22-1,수직순환식,5,2016-10-31,적,무,건물명미정
 ,부산광역시 부산진구 진연로9번길 22-10 (양정동 173) ,부산광역시 부산진구 양정동 173,다단식,5,2017-07-12,적,무,건물명미정
 ,서울특별시 강남구 강남대로112길 20 (논현동 201-5) ,서울특별시 강남구 논현동 201-5,다단식,5,2017-08-14,적,무,건물명미정
 ,부산광역시 사상구 주례로 29-1 (주례동 166-79) ,부산광역시 사상구 주례동 166-79,다단식,5,2017-09-27,적,무,건물명미정
 ,서울특별시 도봉구 마들로 696 (도봉동 634-6) ,서울특별시 도봉구 도봉동 634-6,다단식,5,2017-11-16,적,무,건물명미정
 ,부산광역시 연제구 중앙천로39번길 19,부산광역시 연제구 연산동 794-72,2단식,5,2018-04-18,적,무,건물명미정
 ,서울특별시 도봉구 해등로 200 (쌍문동),서울특별시 도봉구 쌍문동 192-4,2단식,5,2018-07-12,적,무,건물명미정
 ,강원도 원주시 반곡동 1899-3,강원도 원주시 반곡동 1899-3,2단식,5,2019-08-13,적,무,건물명미정
 ,강원도 원주시 양지로 68-1(반곡동 1899-7) ,강원도 원주시 반곡동 1899-7,2단식,5,2019-09-19,적,무,건물명미정
 ,서울특별시 마포구 연희로 35 (연남동 227-1) ,서울특별시 마포구 연남동 227-1,수직순환식,5,2019-11-01,적,무,건물명미정
 ,서울특별시 동작구 대방동 394-16,서울특별시 동작구 대방동 394-16,수직순환식,5,2019-11-06,적,무,건물명미정
 ,서울특별시 강서구 양천로75길 18 (염창동 253-6) 대근빌라,서울특별시 강서구 염창동 253-6,다단식,5,2019-11-08,적,무,건물명미정
 ,경상북도 경산시 원효로 154 (계양동),경상북도 경산시 계양동 668-3,다단식,5,2019-11-27,적,무,건물명미정
 ,서울특별시 동작구 상도로 128 (상도동),서울특별시 동작구 상도동 355-15,다단식,5,2020-01-29,적,무,건물명미정
 ,서울특별시 은평구 증산로 387-1 (신사동 337-6) ,서울특별시 은평구 신사동 337-6,수직순환식,5,2020-02-18,적,무,건물명미정
